"track","model","reference","metric","delta","sd","ci_low","ci_high","prop_favouring_model","crosses_zero"
"10_9","ClinicalBERT-base","ClinicalBERT-original","precision",-0.0227,0.0076,-0.0376,-0.0077,0.002,FALSE
"10_9","ClinicalBERT-base","ClinicalBERT-original","recall",0.0128,0.0048,0.0033,0.0223,0.9945,FALSE
"10_9","ClinicalBERT-base","ClinicalBERT-original","f1",0.0034,0.005,-0.0063,0.0135,0.761,TRUE
"10_9","ClinicalBERT-base","ClinicalBERT-original","accuracy",0.0028,0.004,-0.005,0.0109,0.761,TRUE
"10_9","SapBERT-base","ClinicalBERT-original","precision",0.1134,0.0165,0.0813,0.1451,1,FALSE
"10_9","SapBERT-base","ClinicalBERT-original","recall",0.0907,0.0112,0.0683,0.1119,1,FALSE
"10_9","SapBERT-base","ClinicalBERT-original","f1",0.1027,0.012,0.0794,0.1258,1,FALSE
"10_9","SapBERT-base","ClinicalBERT-original","accuracy",0.0888,0.0105,0.0678,0.1095,1,FALSE
"10_9","mpnet-base","ClinicalBERT-original","precision",0.1102,0.017,0.077,0.142,1,FALSE
"10_9","mpnet-base","ClinicalBERT-original","recall",0.0961,0.0105,0.0754,0.1172,1,FALSE
"10_9","mpnet-base","ClinicalBERT-original","f1",0.1058,0.0116,0.0838,0.1289,1,FALSE
"10_9","mpnet-base","ClinicalBERT-original","accuracy",0.0917,0.0102,0.0727,0.1122,1,FALSE
"10_9","mpnet-base","SapBERT-base","precision",-0.0032,0.0136,-0.0306,0.0227,0.3995,TRUE
"10_9","mpnet-base","SapBERT-base","recall",0.0053,0.0087,-0.0119,0.0216,0.696,TRUE
"10_9","mpnet-base","SapBERT-base","f1",0.0031,0.0095,-0.0156,0.0216,0.6195,TRUE
"10_9","mpnet-base","SapBERT-base","accuracy",0.0029,0.0089,-0.0145,0.0197,0.6195,TRUE
"10_9","ClinicalBERT-base-nocode","ClinicalBERT-base","precision",0.0572,0.0153,0.0276,0.0884,1,FALSE
"10_9","ClinicalBERT-base-nocode","ClinicalBERT-base","recall",0.0224,0.0082,0.0069,0.0381,0.9965,FALSE
"10_9","ClinicalBERT-base-nocode","ClinicalBERT-base","f1",0.0338,0.0097,0.0159,0.0538,1,FALSE
"10_9","ClinicalBERT-base-nocode","ClinicalBERT-base","accuracy",0.0281,0.0081,0.0133,0.0446,1,FALSE
"10_9","ClinicalBERT-stopwords","ClinicalBERT-base","precision",0.0204,0.012,-0.0031,0.0446,0.9545,TRUE
"10_9","ClinicalBERT-stopwords","ClinicalBERT-base","recall",0,0.007,-0.0129,0.0135,0.474,TRUE
"10_9","ClinicalBERT-stopwords","ClinicalBERT-base","f1",0.006,0.0079,-0.0086,0.0218,0.7765,TRUE
"10_9","ClinicalBERT-stopwords","ClinicalBERT-base","accuracy",0.0049,0.0064,-0.0071,0.0177,0.7765,TRUE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base","precision",0.0833,0.0153,0.0535,0.1129,1,FALSE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base","recall",0.0363,0.0084,0.0203,0.0525,1,FALSE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base","f1",0.052,0.0097,0.033,0.0703,1,FALSE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base","accuracy",0.0437,0.0083,0.0272,0.0597,1,FALSE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base-nocode","precision",0.0261,0.0134,4e-04,0.0542,0.977,FALSE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base-nocode","recall",0.0139,0.0074,-0.001,0.0283,0.964,TRUE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base-nocode","f1",0.0182,0.0088,6e-04,0.0357,0.982,FALSE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base-nocode","accuracy",0.0156,0.0075,6e-04,0.0307,0.982,FALSE
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT-stopwords","precision",0.0035,0.0027,-0.0014,0.009,0.9025,TRUE
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT-stopwords","recall",0.0021,0.0015,0,0.0056,0.869,FALSE
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT-stopwords","f1",0.0027,0.0016,0,0.0063,0.9655,FALSE
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT-stopwords","accuracy",0.0022,0.0013,0,0.0052,0.9655,FALSE
"10_9","SapBERT-stripped","SapBERT-base","precision",0.0114,0.0094,-0.0072,0.0298,0.882,TRUE
"10_9","SapBERT-stripped","SapBERT-base","recall",0.0011,0.0066,-0.012,0.0139,0.516,TRUE
"10_9","SapBERT-stripped","SapBERT-base","f1",0.0041,0.0068,-0.0093,0.017,0.7205,TRUE
"10_9","SapBERT-stripped","SapBERT-base","accuracy",0.0038,0.0063,-0.0087,0.0157,0.7205,TRUE
"10_9","mpnet-stripped","mpnet-base","precision",-0.0047,0.0086,-0.0211,0.0124,0.2875,TRUE
"10_9","mpnet-stripped","mpnet-base","recall",-0.0117,0.0062,-0.0243,0.001,0.0255,TRUE
"10_9","mpnet-stripped","mpnet-base","f1",-0.0103,0.0065,-0.0232,0.0024,0.057,TRUE
"10_9","mpnet-stripped","mpnet-base","accuracy",-0.0095,0.006,-0.0216,0.0022,0.057,TRUE
"8_9","ClinicalBERT-base","ClinicalBERT-original","precision",0,0,0,0,0,FALSE
"8_9","ClinicalBERT-base","ClinicalBERT-original","recall",0,0,0,0,0,FALSE
"8_9","ClinicalBERT-base","ClinicalBERT-original","f1",0,0,0,0,0,FALSE
"8_9","ClinicalBERT-base","ClinicalBERT-original","accuracy",0,0,0,0,0,FALSE
"8_9","SapBERT-base","ClinicalBERT-original","precision",0.1016,0.0284,0.0511,0.159,0.9995,FALSE
"8_9","SapBERT-base","ClinicalBERT-original","recall",0.1088,0.0239,0.0644,0.1564,1,FALSE
"8_9","SapBERT-base","ClinicalBERT-original","f1",0.1058,0.0238,0.0622,0.155,1,FALSE
"8_9","SapBERT-base","ClinicalBERT-original","accuracy",0.1398,0.0317,0.0822,0.2049,1,FALSE
"8_9","mpnet-base","ClinicalBERT-original","precision",0.0413,0.0296,-0.0126,0.101,0.93,TRUE
"8_9","mpnet-base","ClinicalBERT-original","recall",0.0634,0.0242,0.018,0.1122,0.9965,FALSE
"8_9","mpnet-base","ClinicalBERT-original","f1",0.0536,0.0246,0.0086,0.103,0.989,FALSE
"8_9","mpnet-base","ClinicalBERT-original","accuracy",0.0678,0.0313,0.0105,0.1318,0.989,FALSE
"8_9","mpnet-base","SapBERT-base","precision",-0.0603,0.0205,-0.1005,-0.0202,0.002,FALSE
"8_9","mpnet-base","SapBERT-base","recall",-0.0453,0.0184,-0.0811,-0.0094,0.0065,FALSE
"8_9","mpnet-base","SapBERT-base","f1",-0.0523,0.0185,-0.0901,-0.0175,0.004,FALSE
"8_9","mpnet-base","SapBERT-base","accuracy",-0.0721,0.0254,-0.1235,-0.0235,0.004,FALSE
"8_9","ClinicalBERT-base-nocode","ClinicalBERT-base","precision",-0.0052,0.0104,-0.0256,0.0148,0.313,TRUE
"8_9","ClinicalBERT-base-nocode","ClinicalBERT-base","recall",0.0091,0.0092,-0.0088,0.0279,0.805,TRUE
"8_9","ClinicalBERT-base-nocode","ClinicalBERT-base","f1",0.0027,0.008,-0.0134,0.0185,0.64,TRUE
"8_9","ClinicalBERT-base-nocode","ClinicalBERT-base","accuracy",0.0033,0.0097,-0.0161,0.0228,0.64,TRUE
"8_9","ClinicalBERT-stopwords","ClinicalBERT-base","precision",-0.011,0.0098,-0.0308,0.0071,0.1245,TRUE
"8_9","ClinicalBERT-stopwords","ClinicalBERT-base","recall",0.0151,0.0099,-0.003,0.0358,0.919,TRUE
"8_9","ClinicalBERT-stopwords","ClinicalBERT-base","f1",0.0033,0.0082,-0.0131,0.0194,0.6615,TRUE
"8_9","ClinicalBERT-stopwords","ClinicalBERT-base","accuracy",0.0041,0.01,-0.0158,0.0234,0.6615,TRUE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base","precision",0.001,0.0099,-0.0189,0.0202,0.537,TRUE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base","recall",-0.006,0.0089,-0.0231,0.012,0.1865,TRUE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base","f1",-0.003,0.0084,-0.0199,0.0129,0.362,TRUE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base","accuracy",-0.0036,0.0102,-0.0238,0.0158,0.362,TRUE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base-nocode","precision",0.0061,0.0097,-0.0131,0.0249,0.7395,TRUE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base-nocode","recall",-0.0151,0.0079,-0.0314,0,0.009,FALSE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base-nocode","f1",-0.0057,0.0074,-0.021,0.0076,0.2065,TRUE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT-base-nocode","accuracy",-0.0069,0.0089,-0.0255,0.0094,0.2065,TRUE
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT-stopwords","precision",-8e-04,9e-04,-0.0027,0,0,FALSE
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT-stopwords","recall",-0.003,0.0031,-0.0093,0,0,FALSE
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT-stopwords","f1",-0.002,0.002,-0.0062,0,0,FALSE
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT-stopwords","accuracy",-0.0025,0.0025,-0.0075,0,0,FALSE
"8_9","SapBERT-stripped","SapBERT-base","precision",-0.0376,0.0149,-0.0671,-0.0091,0.0065,FALSE
"8_9","SapBERT-stripped","SapBERT-base","recall",0.003,0.0135,-0.0235,0.0302,0.5405,TRUE
"8_9","SapBERT-stripped","SapBERT-base","f1",-0.0159,0.0128,-0.0406,0.01,0.105,TRUE
"8_9","SapBERT-stripped","SapBERT-base","accuracy",-0.0226,0.0183,-0.058,0.014,0.105,TRUE
"8_9","mpnet-stripped","mpnet-base","precision",-0.0078,0.0141,-0.0354,0.0204,0.289,TRUE
"8_9","mpnet-stripped","mpnet-base","recall",0,0.0074,-0.0151,0.0151,0.4125,TRUE
"8_9","mpnet-stripped","mpnet-base","f1",-0.0036,0.0096,-0.0228,0.0149,0.3535,TRUE
"8_9","mpnet-stripped","mpnet-base","accuracy",-0.0047,0.0127,-0.0301,0.02,0.3535,TRUE
