"track","model","metric","estimate","sd","ci_low","ci_high"
"10_9","ClinicalBERT-original","precision",0.5785,0.0188,0.541,0.6138
"10_9","ClinicalBERT-original","recall",0.3383,0.0159,0.3079,0.3709
"10_9","ClinicalBERT-original","f1",0.4269,0.0153,0.3969,0.4563
"10_9","ClinicalBERT-original","accuracy",0.2714,0.0124,0.2476,0.2956
"10_9","ClinicalBERT-base","precision",0.5557,0.0178,0.5194,0.5911
"10_9","ClinicalBERT-base","recall",0.3511,0.0166,0.3196,0.3846
"10_9","ClinicalBERT-base","f1",0.4303,0.0151,0.4007,0.4597
"10_9","ClinicalBERT-base","accuracy",0.2742,0.0122,0.2506,0.2985
"10_9","ClinicalBERT-base-nocode","precision",0.613,0.0182,0.5784,0.6494
"10_9","ClinicalBERT-base-nocode","recall",0.3735,0.0169,0.3421,0.4095
"10_9","ClinicalBERT-base-nocode","f1",0.4642,0.0157,0.4343,0.4958
"10_9","ClinicalBERT-base-nocode","accuracy",0.3022,0.0134,0.2774,0.3296
"10_9","ClinicalBERT-stopwords","precision",0.5762,0.0191,0.5379,0.6138
"10_9","ClinicalBERT-stopwords","recall",0.3511,0.0164,0.3207,0.3843
"10_9","ClinicalBERT-stopwords","f1",0.4363,0.0155,0.4067,0.4668
"10_9","ClinicalBERT-stopwords","accuracy",0.2791,0.0127,0.2553,0.3045
"10_9","ClinicalBERT-stopwords-nocode","precision",0.6391,0.0188,0.6017,0.6758
"10_9","ClinicalBERT-stopwords-nocode","recall",0.3874,0.017,0.3547,0.4211
"10_9","ClinicalBERT-stopwords-nocode","f1",0.4824,0.0159,0.4513,0.5141
"10_9","ClinicalBERT-stopwords-nocode","accuracy",0.3179,0.0138,0.2914,0.346
"10_9","ClinicalBERT-stopwords-raw","precision",0.5797,0.0187,0.5432,0.6166
"10_9","ClinicalBERT-stopwords-raw","recall",0.3533,0.0165,0.3228,0.3871
"10_9","ClinicalBERT-stopwords-raw","f1",0.439,0.0156,0.4087,0.4696
"10_9","ClinicalBERT-stopwords-raw","accuracy",0.2812,0.0128,0.2569,0.3069
"10_9","ClinicalBERT-stripped","precision",0.5852,0.0186,0.5491,0.6229
"10_9","ClinicalBERT-stripped","recall",0.3629,0.0169,0.3316,0.3975
"10_9","ClinicalBERT-stripped","f1",0.448,0.0156,0.4176,0.4785
"10_9","ClinicalBERT-stripped","accuracy",0.2886,0.013,0.2639,0.3145
"10_9","SapBERT-base","precision",0.6919,0.0185,0.6553,0.7289
"10_9","SapBERT-base","recall",0.429,0.0175,0.3963,0.4659
"10_9","SapBERT-base","f1",0.5296,0.0154,0.5006,0.5598
"10_9","SapBERT-base","accuracy",0.3602,0.0143,0.3339,0.3887
"10_9","SapBERT-stripped","precision",0.7033,0.0183,0.6661,0.7386
"10_9","SapBERT-stripped","recall",0.4301,0.0171,0.3979,0.4649
"10_9","SapBERT-stripped","f1",0.5338,0.0153,0.5036,0.5638
"10_9","SapBERT-stripped","accuracy",0.364,0.0142,0.3365,0.3926
"10_9","mpnet-base","precision",0.6887,0.0184,0.6522,0.7246
"10_9","mpnet-base","recall",0.4344,0.0172,0.4021,0.4694
"10_9","mpnet-base","f1",0.5327,0.0152,0.5025,0.5614
"10_9","mpnet-base","accuracy",0.3631,0.0141,0.3356,0.3903
"10_9","mpnet-stripped","precision",0.6839,0.0189,0.6461,0.7211
"10_9","mpnet-stripped","recall",0.4226,0.017,0.3908,0.4565
"10_9","mpnet-stripped","f1",0.5224,0.0151,0.493,0.551
"10_9","mpnet-stripped","accuracy",0.3536,0.0139,0.3272,0.3803
"8_9","ClinicalBERT-original","precision",0.7593,0.022,0.7148,0.8021
"8_9","ClinicalBERT-original","recall",0.6767,0.0275,0.6216,0.7301
"8_9","ClinicalBERT-original","f1",0.7157,0.0221,0.6706,0.7576
"8_9","ClinicalBERT-original","accuracy",0.5572,0.0268,0.5045,0.6098
"8_9","ClinicalBERT-base","precision",0.7593,0.022,0.7148,0.8021
"8_9","ClinicalBERT-base","recall",0.6767,0.0275,0.6216,0.7301
"8_9","ClinicalBERT-base","f1",0.7157,0.0221,0.6706,0.7576
"8_9","ClinicalBERT-base","accuracy",0.5572,0.0268,0.5045,0.6098
"8_9","ClinicalBERT-base-nocode","precision",0.7542,0.0224,0.7097,0.7966
"8_9","ClinicalBERT-base-nocode","recall",0.6858,0.0277,0.6306,0.7385
"8_9","ClinicalBERT-base-nocode","f1",0.7184,0.0223,0.673,0.7611
"8_9","ClinicalBERT-base-nocode","accuracy",0.5605,0.0271,0.5071,0.6144
"8_9","ClinicalBERT-stopwords","precision",0.7484,0.0218,0.7052,0.7896
"8_9","ClinicalBERT-stopwords","recall",0.6918,0.0276,0.638,0.7452
"8_9","ClinicalBERT-stopwords","f1",0.719,0.0217,0.6751,0.7603
"8_9","ClinicalBERT-stopwords","accuracy",0.5613,0.0264,0.5096,0.6132
"8_9","ClinicalBERT-stopwords-nocode","precision",0.7603,0.0235,0.7118,0.8068
"8_9","ClinicalBERT-stopwords-nocode","recall",0.6707,0.0274,0.6167,0.7236
"8_9","ClinicalBERT-stopwords-nocode","f1",0.7127,0.0228,0.6656,0.7568
"8_9","ClinicalBERT-stopwords-nocode","accuracy",0.5536,0.0275,0.4988,0.6087
"8_9","ClinicalBERT-stopwords-raw","precision",0.7475,0.022,0.7036,0.7893
"8_9","ClinicalBERT-stopwords-raw","recall",0.6888,0.0277,0.6345,0.7415
"8_9","ClinicalBERT-stopwords-raw","f1",0.717,0.0219,0.6738,0.7579
"8_9","ClinicalBERT-stopwords-raw","accuracy",0.5588,0.0266,0.5081,0.6101
"8_9","ClinicalBERT-stripped","precision",0.7516,0.0218,0.7085,0.7933
"8_9","ClinicalBERT-stripped","recall",0.6949,0.0276,0.6407,0.747
"8_9","ClinicalBERT-stripped","f1",0.7221,0.0216,0.6792,0.763
"8_9","ClinicalBERT-stripped","accuracy",0.5651,0.0264,0.5143,0.6168
"8_9","SapBERT-base","precision",0.8609,0.0194,0.8237,0.8984
"8_9","SapBERT-base","recall",0.7855,0.0259,0.7367,0.8365
"8_9","SapBERT-base","f1",0.8215,0.0213,0.7797,0.8631
"8_9","SapBERT-base","accuracy",0.6971,0.0307,0.639,0.7592
"8_9","SapBERT-stripped","precision",0.8233,0.0209,0.7833,0.8639
"8_9","SapBERT-stripped","recall",0.7885,0.0257,0.7382,0.8396
"8_9","SapBERT-stripped","f1",0.8056,0.0217,0.7641,0.8481
"8_9","SapBERT-stripped","accuracy",0.6744,0.0304,0.6182,0.7363
"8_9","mpnet-base","precision",0.8007,0.0224,0.7558,0.8449
"8_9","mpnet-base","recall",0.7402,0.0264,0.6903,0.7916
"8_9","mpnet-base","f1",0.7692,0.023,0.725,0.8145
"8_9","mpnet-base","accuracy",0.625,0.0304,0.5686,0.687
"8_9","mpnet-stripped","precision",0.7929,0.0227,0.75,0.8393
"8_9","mpnet-stripped","recall",0.7402,0.0261,0.6894,0.7926
"8_9","mpnet-stripped","f1",0.7656,0.0229,0.7228,0.8116
"8_9","mpnet-stripped","accuracy",0.6203,0.0302,0.5659,0.6829
