"track","model","sim_mode","sim_param","top_n","chapter_filter","pool_pairs","pool_per_code","recall_ceiling","oracle_f1"
"10_9","SapBERT","relative",0.999,3,TRUE,704,2.01,0.4162,0.5878
"10_9","SapBERT","relative",0.999,3,FALSE,1237,3.49,0.4258,0.5973
"10_9","SapBERT","relative",0.999,5,TRUE,954,2.71,0.4514,0.6221
"10_9","SapBERT","relative",0.999,5,FALSE,1906,5.38,0.4621,0.6321
"10_9","SapBERT","relative",0.999,10,TRUE,1426,4.03,0.5027,0.669
"10_9","SapBERT","relative",0.999,10,FALSE,3578,10.11,0.5176,0.6821
"10_9","SapBERT","relative",0.999,20,TRUE,2071,5.85,0.5592,0.7173
"10_9","SapBERT","relative",0.999,20,FALSE,6872,19.41,0.5806,0.7346
"10_9","SapBERT","relative",0.999,30,TRUE,2605,7.36,0.5987,0.749
"10_9","SapBERT","relative",0.999,30,FALSE,10077,28.47,0.6211,0.7663
"10_9","SapBERT","relative",0.999,50,TRUE,3575,10.1,0.651,0.7886
"10_9","SapBERT","relative",0.999,50,FALSE,16059,45.36,0.6777,0.8079
"10_9","SapBERT","relative",0.995,3,TRUE,712,2.03,0.4184,0.5899
"10_9","SapBERT","relative",0.995,3,FALSE,1247,3.52,0.428,0.5994
"10_9","SapBERT","relative",0.995,5,TRUE,962,2.73,0.4536,0.6241
"10_9","SapBERT","relative",0.995,5,FALSE,1916,5.41,0.4642,0.6341
"10_9","SapBERT","relative",0.995,10,TRUE,1433,4.05,0.5037,0.67
"10_9","SapBERT","relative",0.995,10,FALSE,3587,10.13,0.5187,0.6831
"10_9","SapBERT","relative",0.995,20,TRUE,2077,5.87,0.5603,0.7182
"10_9","SapBERT","relative",0.995,20,FALSE,6880,19.44,0.5816,0.7355
"10_9","SapBERT","relative",0.995,30,TRUE,2611,7.38,0.5998,0.7498
"10_9","SapBERT","relative",0.995,30,FALSE,10085,28.49,0.6222,0.7671
"10_9","SapBERT","relative",0.995,50,TRUE,3581,10.12,0.6521,0.7894
"10_9","SapBERT","relative",0.995,50,FALSE,16067,45.39,0.6788,0.8086
"10_9","SapBERT","relative",0.99,3,TRUE,726,2.07,0.4237,0.5952
"10_9","SapBERT","relative",0.99,3,FALSE,1267,3.58,0.4333,0.6046
"10_9","SapBERT","relative",0.99,5,TRUE,975,2.77,0.4589,0.6291
"10_9","SapBERT","relative",0.99,5,FALSE,1935,5.47,0.4696,0.6391
"10_9","SapBERT","relative",0.99,10,TRUE,1445,4.08,0.508,0.6737
"10_9","SapBERT","relative",0.99,10,FALSE,3605,10.18,0.5229,0.6868
"10_9","SapBERT","relative",0.99,20,TRUE,2088,5.9,0.5635,0.7208
"10_9","SapBERT","relative",0.99,20,FALSE,6897,19.48,0.5848,0.738
"10_9","SapBERT","relative",0.99,30,TRUE,2621,7.4,0.603,0.7523
"10_9","SapBERT","relative",0.99,30,FALSE,10101,28.53,0.6254,0.7695
"10_9","SapBERT","relative",0.99,50,TRUE,3591,10.14,0.6553,0.7917
"10_9","SapBERT","relative",0.99,50,FALSE,16082,45.43,0.682,0.8109
"10_9","SapBERT","relative",0.95,3,TRUE,853,2.42,0.4717,0.641
"10_9","SapBERT","relative",0.95,3,FALSE,1477,4.17,0.4813,0.6499
"10_9","SapBERT","relative",0.95,5,TRUE,1089,3.08,0.5005,0.6671
"10_9","SapBERT","relative",0.95,5,FALSE,2132,6.02,0.5112,0.6766
"10_9","SapBERT","relative",0.95,10,TRUE,1546,4.37,0.539,0.7004
"10_9","SapBERT","relative",0.95,10,FALSE,3788,10.7,0.5539,0.7129
"10_9","SapBERT","relative",0.95,20,TRUE,2175,6.14,0.5891,0.7414
"10_9","SapBERT","relative",0.95,20,FALSE,7065,19.96,0.6105,0.7581
"10_9","SapBERT","relative",0.95,30,TRUE,2705,7.64,0.6265,0.7703
"10_9","SapBERT","relative",0.95,30,FALSE,10266,29,0.6489,0.7871
"10_9","SapBERT","relative",0.95,50,TRUE,3668,10.36,0.6713,0.8033
"10_9","SapBERT","relative",0.95,50,FALSE,16237,45.87,0.698,0.8221
"10_9","SapBERT","relative",0.9,3,TRUE,1146,3.25,0.5358,0.6977
"10_9","SapBERT","relative",0.9,3,FALSE,2045,5.78,0.5464,0.7067
"10_9","SapBERT","relative",0.9,5,TRUE,1371,3.88,0.5592,0.7173
"10_9","SapBERT","relative",0.9,5,FALSE,2688,7.59,0.571,0.7269
"10_9","SapBERT","relative",0.9,10,TRUE,1808,5.11,0.588,0.7406
"10_9","SapBERT","relative",0.9,10,FALSE,4321,12.21,0.6041,0.7532
"10_9","SapBERT","relative",0.9,20,TRUE,2421,6.84,0.6361,0.7776
"10_9","SapBERT","relative",0.9,20,FALSE,7577,21.4,0.6585,0.7941
"10_9","SapBERT","relative",0.9,30,TRUE,2937,8.3,0.667,0.8003
"10_9","SapBERT","relative",0.9,30,FALSE,10759,30.39,0.6905,0.8169
"10_9","SapBERT","relative",0.9,50,TRUE,3879,10.96,0.7086,0.8295
"10_9","SapBERT","relative",0.9,50,FALSE,16705,47.19,0.7364,0.8482
"10_9","SapBERT","relative",0.85,3,TRUE,1715,4.86,0.6051,0.754
"10_9","SapBERT","relative",0.85,3,FALSE,3519,9.94,0.6179,0.7639
"10_9","SapBERT","relative",0.85,5,TRUE,1929,5.46,0.6265,0.7703
"10_9","SapBERT","relative",0.85,5,FALSE,4147,11.71,0.6403,0.7807
