"CCS_ID","description","n_codes","model","n_codes_evaluated","n_manual_pairs","TP","FP","FN","precision","recall","f1","accuracy"
1,"cancer of head and neck",12,"ClinicalBERT-base",12,18,16,9,2,0.64,0.889,0.744,0.593
1,"cancer of head and neck",12,"ClinicalBERT-base-nocode",12,18,16,1,2,0.941,0.889,0.914,0.842
1,"cancer of head and neck",12,"ClinicalBERT-original",12,18,16,9,2,0.64,0.889,0.744,0.593
1,"cancer of head and neck",12,"ClinicalBERT-stopwords",12,18,14,6,4,0.7,0.778,0.737,0.583
1,"cancer of head and neck",12,"ClinicalBERT-stopwords-nocode",12,18,15,4,3,0.789,0.833,0.811,0.682
1,"cancer of head and neck",12,"SapBERT-base",12,18,16,2,2,0.889,0.889,0.889,0.8
1,"cancer of head and neck",12,"mpnet-base",12,18,16,3,2,0.842,0.889,0.865,0.762
2,"cancer of esophagus",1,"ClinicalBERT-base",1,1,1,0,0,1,1,1,1
2,"cancer of esophagus",1,"ClinicalBERT-base-nocode",1,1,1,0,0,1,1,1,1
2,"cancer of esophagus",1,"ClinicalBERT-original",1,1,1,0,0,1,1,1,1
2,"cancer of esophagus",1,"ClinicalBERT-stopwords",1,1,1,0,0,1,1,1,1
2,"cancer of esophagus",1,"ClinicalBERT-stopwords-nocode",1,1,1,0,0,1,1,1,1
2,"cancer of esophagus",1,"SapBERT-base",1,1,1,0,0,1,1,1,1
2,"cancer of esophagus",1,"mpnet-base",1,1,1,0,0,1,1,1,1
3,"cancer of stomach",1,"ClinicalBERT-base",1,1,1,1,0,0.5,1,0.667,0.5
3,"cancer of stomach",1,"ClinicalBERT-base-nocode",1,1,1,0,0,1,1,1,1
3,"cancer of stomach",1,"ClinicalBERT-original",1,1,1,1,0,0.5,1,0.667,0.5
3,"cancer of stomach",1,"ClinicalBERT-stopwords",1,1,1,0,0,1,1,1,1
3,"cancer of stomach",1,"ClinicalBERT-stopwords-nocode",1,1,1,0,0,1,1,1,1
3,"cancer of stomach",1,"SapBERT-base",1,1,1,0,0,1,1,1,1
3,"cancer of stomach",1,"mpnet-base",1,1,1,0,0,1,1,1,1
4,"cancer of other gi organs peritoneum",5,"ClinicalBERT-base",5,9,3,8,6,0.273,0.333,0.3,0.176
