"CCS_ID","description","n_codes","system","n_codes_evaluated","n_true_pairs","TP","FP","FN","precision","recall","f1","accuracy"
1,"cancer of head and neck",12,"original rules",12,12,12,0,0,1,1,1,1
1,"cancer of head and neck",12,"two stage system",12,12,12,0,0,1,1,1,1
2,"cancer of esophagus",1,"original rules",1,1,1,0,0,1,1,1,1
2,"cancer of esophagus",1,"two stage system",1,1,1,0,0,1,1,1,1
3,"cancer of stomach",1,"original rules",1,1,1,0,0,1,1,1,1
3,"cancer of stomach",1,"two stage system",1,1,1,0,0,1,1,1,1
4,"cancer of other gi organs peritoneum",5,"original rules",4,4,4,0,0,1,1,1,1
4,"cancer of other gi organs peritoneum",5,"two stage system",4,4,4,0,0,1,1,1,1
5,"colon cancer",1,"original rules",1,1,1,0,0,1,1,1,1
5,"colon cancer",1,"two stage system",1,1,1,0,0,1,1,1,1
6,"cancer of rectum and anus",1,"original rules",1,1,1,0,0,1,1,1,1
6,"cancer of rectum and anus",1,"two stage system",1,1,1,0,0,1,1,1,1
7,"cancer of liver and intrahepatic bile duct",1,"original rules",1,1,1,0,0,1,1,1,1
7,"cancer of liver and intrahepatic bile duct",1,"two stage system",1,1,1,0,0,1,1,1,1
8,"pancreas cancer",1,"original rules",1,1,1,0,0,1,1,1,1
8,"pancreas cancer",1,"two stage system",1,1,1,0,0,1,1,1,1
9,"lung and other respiratory cancer",4,"original rules",2,2,2,0,0,1,1,1,1
9,"lung and other respiratory cancer",4,"two stage system",2,2,1,1,1,0.5,0.5,0.5,0.333
10,"other cancers",8,"original rules",4,4,3,1,1,0.75,0.75,0.75,0.6
10,"other cancers",8,"two stage system",4,4,3,1,1,0.75,0.75,0.75,0.6
11,"cancer of bone and connective tissue",2,"original rules",2,2,2,0,0,1,1,1,1
11,"cancer of bone and connective tissue",2,"two stage system",2,2,2,0,0,1,1,1,1
12,"skin melanoma",1,"original rules",1,1,1,0,0,1,1,1,1
12,"skin melanoma",1,"two stage system",1,1,1,0,0,1,1,1,1
13,"breast cancer",2,"original rules",1,1,1,0,0,1,1,1,1
13,"breast cancer",2,"two stage system",1,1,1,0,0,1,1,1,1
14,"uterus cancer",2,"original rules",1,1,1,0,0,1,1,1,1
14,"uterus cancer",2,"two stage system",1,1,1,0,0,1,1,1,1
15,"cervix cancer",1,"original rules",1,1,1,0,0,1,1,1,1
15,"cervix cancer",1,"two stage system",1,1,1,0,0,1,1,1,1
16,"cancer of other female genital organs",3,"original rules",3,3,3,0,0,1,1,1,1
16,"cancer of other female genital organs",3,"two stage system",3,3,3,0,0,1,1,1,1
17,"prostate cancer",1,"original rules",1,1,1,0,0,1,1,1,1
17,"prostate cancer",1,"two stage system",1,1,1,0,0,1,1,1,1
18,"testis cancer",1,"original rules",1,1,1,0,0,1,1,1,1
18,"testis cancer",1,"two stage system",1,1,1,0,0,1,1,1,1
19,"cancer of other male genital organs",1,"original rules",1,1,1,0,0,1,1,1,1
19,"cancer of other male genital organs",1,"two stage system",1,1,1,0,0,1,1,1,1
