"CCS_ID","TP","FP","FN","Precision","Recall","F1","Accuracy","track","model"
1,16,10,2,0.615,0.889,0.727,0.571,"10_9","ClinicalBERT"
2,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
3,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
4,3,7,6,0.3,0.333,0.316,0.188,"10_9","ClinicalBERT"
5,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
6,2,0,1,1,0.667,0.8,0.667,"10_9","ClinicalBERT"
7,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
8,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
9,5,2,2,0.714,0.714,0.714,0.556,"10_9","ClinicalBERT"
10,5,11,11,0.312,0.312,0.312,0.185,"10_9","ClinicalBERT"
11,2,1,2,0.667,0.5,0.572,0.4,"10_9","ClinicalBERT"
12,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
13,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
14,2,2,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
15,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
16,3,2,3,0.6,0.5,0.545,0.375,"10_9","ClinicalBERT"
17,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
18,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
19,2,1,0,0.667,1,0.8,0.667,"10_9","ClinicalBERT"
20,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
21,2,0,2,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
22,1,3,2,0.25,0.333,0.286,0.167,"10_9","ClinicalBERT"
23,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
24,2,4,1,0.333,0.667,0.444,0.286,"10_9","ClinicalBERT"
25,1,1,3,0.5,0.25,0.333,0.2,"10_9","ClinicalBERT"
26,3,1,6,0.75,0.333,0.461,0.3,"10_9","ClinicalBERT"
27,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
28,5,4,2,0.556,0.714,0.625,0.455,"10_9","ClinicalBERT"
29,2,0,0,1,1,1,1,"10_9","ClinicalBERT"
30,2,2,6,0.5,0.25,0.333,0.2,"10_9","ClinicalBERT"
31,5,7,10,0.417,0.333,0.37,0.227,"10_9","ClinicalBERT"
32,2,0,2,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
33,4,6,22,0.4,0.154,0.222,0.125,"10_9","ClinicalBERT"
34,3,4,8,0.429,0.273,0.334,0.2,"10_9","ClinicalBERT"
35,4,7,30,0.364,0.118,0.178,0.098,"10_9","ClinicalBERT"
36,1,1,4,0.5,0.2,0.286,0.167,"10_9","ClinicalBERT"
37,1,1,1,0.5,0.5,0.5,0.333,"10_9","ClinicalBERT"
38,6,4,7,0.6,0.462,0.522,0.353,"10_9","ClinicalBERT"
39,5,0,11,1,0.312,0.476,0.312,"10_9","ClinicalBERT"
40,2,1,12,0.667,0.143,0.236,0.133,"10_9","ClinicalBERT"
41,6,1,25,0.857,0.194,0.316,0.188,"10_9","ClinicalBERT"
42,3,1,8,0.75,0.273,0.4,0.25,"10_9","ClinicalBERT"
43,4,1,16,0.8,0.2,0.32,0.19,"10_9","ClinicalBERT"
44,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
45,1,0,5,1,0.167,0.286,0.167,"10_9","ClinicalBERT"
46,4,1,8,0.8,0.333,0.47,0.308,"10_9","ClinicalBERT"
47,1,0,1,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
48,2,0,2,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
49,3,2,9,0.6,0.25,0.353,0.214,"10_9","ClinicalBERT"
50,15,6,27,0.714,0.357,0.476,0.312,"10_9","ClinicalBERT"
51,1,0,2,1,0.333,0.5,0.333,"10_9","ClinicalBERT"
52,1,0,1,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
53,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
54,4,1,2,0.8,0.667,0.727,0.571,"10_9","ClinicalBERT"
55,1,1,1,0.5,0.5,0.5,0.333,"10_9","ClinicalBERT"
56,9,3,21,0.75,0.3,0.429,0.273,"10_9","ClinicalBERT"
57,1,1,5,0.5,0.167,0.25,0.143,"10_9","ClinicalBERT"
58,1,0,2,1,0.333,0.5,0.333,"10_9","ClinicalBERT"
59,2,0,1,1,0.667,0.8,0.667,"10_9","ClinicalBERT"
60,0,1,1,0,0,0,0,"10_9","ClinicalBERT"
61,5,0,2,1,0.714,0.833,0.714,"10_9","ClinicalBERT"
62,3,1,5,0.75,0.375,0.5,0.333,"10_9","ClinicalBERT"
63,1,1,2,0.5,0.333,0.4,0.25,"10_9","ClinicalBERT"
64,3,3,6,0.5,0.333,0.4,0.25,"10_9","ClinicalBERT"
65,1,5,13,0.167,0.071,0.1,0.053,"10_9","ClinicalBERT"
66,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
67,3,4,1,0.429,0.75,0.546,0.375,"10_9","ClinicalBERT"
68,1,0,2,1,0.333,0.5,0.333,"10_9","ClinicalBERT"
69,2,4,3,0.333,0.4,0.363,0.222,"10_9","ClinicalBERT"
70,2,4,2,0.333,0.5,0.4,0.25,"10_9","ClinicalBERT"
71,1,0,1,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
72,3,0,3,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
73,1,1,6,0.5,0.143,0.222,0.125,"10_9","ClinicalBERT"
74,5,6,6,0.455,0.455,0.455,0.294,"10_9","ClinicalBERT"
75,0,2,1,0,0,0,0,"10_9","ClinicalBERT"
76,2,3,3,0.4,0.4,0.4,0.25,"10_9","ClinicalBERT"
77,7,4,6,0.636,0.538,0.583,0.412,"10_9","ClinicalBERT"
78,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
79,1,2,0,0.333,1,0.5,0.333,"10_9","ClinicalBERT"
80,4,1,4,0.8,0.5,0.615,0.444,"10_9","ClinicalBERT"
81,2,3,5,0.4,0.286,0.334,0.2,"10_9","ClinicalBERT"
82,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
83,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
84,3,1,3,0.75,0.5,0.6,0.429,"10_9","ClinicalBERT"
85,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
86,6,9,4,0.4,0.6,0.48,0.316,"10_9","ClinicalBERT"
87,3,4,2,0.429,0.6,0.5,0.333,"10_9","ClinicalBERT"
88,1,0,6,1,0.143,0.25,0.143,"10_9","ClinicalBERT"
89,2,2,2,0.5,0.5,0.5,0.333,"10_9","ClinicalBERT"
90,1,0,3,1,0.25,0.4,0.25,"10_9","ClinicalBERT"
91,4,4,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
92,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
93,1,2,0,0.333,1,0.5,0.333,"10_9","ClinicalBERT"
94,2,1,0,0.667,1,0.8,0.667,"10_9","ClinicalBERT"
95,1,0,1,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
96,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
97,2,0,4,1,0.333,0.5,0.333,"10_9","ClinicalBERT"
98,3,1,10,0.75,0.231,0.353,0.214,"10_9","ClinicalBERT"
99,2,2,3,0.5,0.4,0.444,0.286,"10_9","ClinicalBERT"
100,1,1,2,0.5,0.333,0.4,0.25,"10_9","ClinicalBERT"
101,2,8,14,0.2,0.125,0.154,0.083,"10_9","ClinicalBERT"
102,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
103,2,1,7,0.667,0.222,0.333,0.2,"10_9","ClinicalBERT"
104,2,0,8,1,0.2,0.333,0.2,"10_9","ClinicalBERT"
105,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
106,2,3,1,0.4,0.667,0.5,0.333,"10_9","ClinicalBERT"
107,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
108,6,7,8,0.462,0.429,0.445,0.286,"10_9","ClinicalBERT"
109,1,1,3,0.5,0.25,0.333,0.2,"10_9","ClinicalBERT"
110,1,0,1,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
111,1,0,1,1,0.5,0.667,0.5,"10_9","ClinicalBERT"
112,1,1,0,0.5,1,0.667,0.5,"10_9","ClinicalBERT"
113,0,1,2,0,0,0,0,"10_9","ClinicalBERT"
114,4,1,19,0.8,0.174,0.286,0.167,"10_9","ClinicalBERT"
