"track","model","size_group","n_categories","mean_f1","sd_f1"
"10_9","ClinicalBERT-base","1 code",59,0.622,0.293
"10_9","ClinicalBERT-base","2 codes",23,0.464,0.137
"10_9","ClinicalBERT-base","3-4 codes",27,0.454,0.148
"10_9","ClinicalBERT-base","5+ codes",21,0.387,0.151
"10_9","ClinicalBERT-base-nocode","1 code",59,0.666,0.339
"10_9","ClinicalBERT-base-nocode","2 codes",23,0.479,0.191
"10_9","ClinicalBERT-base-nocode","3-4 codes",27,0.526,0.173
"10_9","ClinicalBERT-base-nocode","5+ codes",21,0.446,0.192
"10_9","ClinicalBERT-original","1 code",59,0.63,0.3
"10_9","ClinicalBERT-original","2 codes",23,0.475,0.143
"10_9","ClinicalBERT-original","3-4 codes",27,0.448,0.163
"10_9","ClinicalBERT-original","5+ codes",21,0.382,0.163
"10_9","ClinicalBERT-stopwords","1 code",59,0.651,0.311
"10_9","ClinicalBERT-stopwords","2 codes",23,0.46,0.177
"10_9","ClinicalBERT-stopwords","3-4 codes",27,0.471,0.168
"10_9","ClinicalBERT-stopwords","5+ codes",21,0.388,0.158
"10_9","ClinicalBERT-stopwords-nocode","1 code",59,0.667,0.324
"10_9","ClinicalBERT-stopwords-nocode","2 codes",23,0.47,0.196
"10_9","ClinicalBERT-stopwords-nocode","3-4 codes",27,0.55,0.174
"10_9","ClinicalBERT-stopwords-nocode","5+ codes",21,0.451,0.168
"10_9","SapBERT-base","1 code",59,0.714,0.295
"10_9","SapBERT-base","2 codes",23,0.551,0.169
"10_9","SapBERT-base","3-4 codes",27,0.563,0.166
"10_9","SapBERT-base","5+ codes",21,0.505,0.17
"10_9","mpnet-base","1 code",59,0.732,0.274
"10_9","mpnet-base","2 codes",23,0.556,0.165
"10_9","mpnet-base","3-4 codes",27,0.551,0.151
"10_9","mpnet-base","5+ codes",21,0.502,0.161
"8_9","ClinicalBERT-base","1 code",58,0.856,0.313
"8_9","ClinicalBERT-base","2 codes",23,0.799,0.275
"8_9","ClinicalBERT-base","3-4 codes",27,0.7,0.267
"8_9","ClinicalBERT-base","5+ codes",21,0.621,0.22
"8_9","ClinicalBERT-base-nocode","1 code",58,0.851,0.313
"8_9","ClinicalBERT-base-nocode","2 codes",23,0.82,0.27
"8_9","ClinicalBERT-base-nocode","3-4 codes",27,0.683,0.263
"8_9","ClinicalBERT-base-nocode","5+ codes",21,0.631,0.217
"8_9","ClinicalBERT-original","1 code",58,0.856,0.313
"8_9","ClinicalBERT-original","2 codes",23,0.799,0.275
"8_9","ClinicalBERT-original","3-4 codes",27,0.7,0.267
"8_9","ClinicalBERT-original","5+ codes",21,0.621,0.22
"8_9","ClinicalBERT-stopwords","1 code",58,0.856,0.313
"8_9","ClinicalBERT-stopwords","2 codes",23,0.783,0.315
"8_9","ClinicalBERT-stopwords","3-4 codes",27,0.688,0.259
"8_9","ClinicalBERT-stopwords","5+ codes",21,0.646,0.21
"8_9","ClinicalBERT-stopwords-nocode","1 code",58,0.856,0.313
"8_9","ClinicalBERT-stopwords-nocode","2 codes",23,0.778,0.324
"8_9","ClinicalBERT-stopwords-nocode","3-4 codes",27,0.681,0.271
"8_9","ClinicalBERT-stopwords-nocode","5+ codes",21,0.628,0.223
"8_9","SapBERT-base","1 code",59,0.904,0.263
"8_9","SapBERT-base","2 codes",23,0.802,0.192
"8_9","SapBERT-base","3-4 codes",27,0.753,0.254
"8_9","SapBERT-base","5+ codes",21,0.705,0.227
"8_9","mpnet-base","1 code",58,0.868,0.272
"8_9","mpnet-base","2 codes",23,0.836,0.218
"8_9","mpnet-base","3-4 codes",27,0.725,0.245
"8_9","mpnet-base","5+ codes",21,0.663,0.185
