"track","model","n_categories","n_scored","mean_f1","sd_f1","median_f1","q1_f1","q3_f1","n_perfect","n_zero","pooled_f1"
"10_9","ClinicalBERT-base",130,130,0.521,0.243,0.5,0.333,0.667,15,3,0.426
"10_9","ClinicalBERT-base-nocode",130,130,0.569,0.28,0.5,0.333,0.758,27,4,0.461
"10_9","ClinicalBERT-original",130,130,0.525,0.252,0.49,0.333,0.667,17,3,0.423
"10_9","ClinicalBERT-stopwords",130,130,0.537,0.264,0.5,0.333,0.667,20,4,0.432
"10_9","ClinicalBERT-stopwords-nocode",130,130,0.573,0.27,0.545,0.352,0.744,24,4,0.478
"10_9","SapBERT-base",130,130,0.62,0.248,0.571,0.453,0.8,26,2,0.524
"10_9","mpnet-base",130,130,0.626,0.238,0.607,0.464,0.8,25,1,0.527
"8_9","ClinicalBERT-base",130,129,0.775,0.295,1,0.632,1,65,8,0.716
"8_9","ClinicalBERT-base-nocode",130,129,0.774,0.293,0.933,0.667,1,64,8,0.718
"8_9","ClinicalBERT-original",130,129,0.775,0.295,1,0.632,1,65,8,0.716
"8_9","ClinicalBERT-stopwords",130,129,0.774,0.298,0.933,0.667,1,64,9,0.719
"8_9","ClinicalBERT-stopwords-nocode",130,129,0.769,0.304,1,0.625,1,66,9,0.713
"8_9","SapBERT-base",130,130,0.822,0.254,1,0.667,1,71,5,0.761
"8_9","mpnet-base",130,129,0.799,0.255,0.947,0.667,1,64,5,0.741
