"ICD_9_CM","target","track","chapter_icd9","chapter_target","allowed_target_chapters"
"237","Q85","10_9",2,17,"2"
"268","M83","10_9",3,13,"4"
"271","R73","10_9",3,18,"4"
"272","H02","10_9",3,7,"4"
"273","C88","10_9",3,2,"4"
"273","D47","10_9",3,2,"4"
"273","D89","10_9",3,3,"4"
"273","R77","10_9",3,18,"4"
"274","M10","10_9",3,13,"4"
"275","M11","10_9",3,13,"4"
"277","D76","10_9",3,3,"4"
"279","D80","10_9",3,3,"4"
"279","D81","10_9",3,3,"4"
"279","D82","10_9",3,3,"4"
"279","D83","10_9",3,3,"4"
"279","D84","10_9",3,3,"4"
"279","D89","10_9",3,3,"4"
"284","D46","10_9",4,2,"3"
"285","D46","10_9",4,2,"3"
"288","R72","10_9",4,18,"3"
"289","C94","10_9",4,2,"3"
"289","I88","10_9",4,9,"3"
"298","R41","10_9",5,18,"5"
"303","G31","10_9",5,6,"5"
"307","G44","10_9",5,6,"5"
"330","E75","10_9",6,4,"6,7,8"
"330","F84","10_9",6,5,"6,7,8"
"365","Q15","10_9",6,17,"6,7,8"
"427","R00","10_9",7,18,"9"
"429","B33","10_9",7,1,"9"
"434","G46","10_9",7,6,"9"
"435","G45","10_9",7,6,"9"
"436","G46","10_9",7,6,"9"
"437","G45","10_9",7,6,"9"
"446","M30","10_9",7,13,"9"
"446","M31","10_9",7,13,"9"
"447","M30","10_9",7,13,"9"
"447","M31","10_9",7,13,"9"
"459","R58","10_9",7,18,"9"
"518","Z90","10_9",8,21,"10"
"558","A09","10_9",9,1,"11"
"596","Z90","10_9",10,21,"14"
"599","R31","10_9",10,18,"14"
"710","L87","10_9",13,12,"13"
"719","R26","10_9",13,18,"13"
"719","R29","10_9",13,18,"13"
"742","G90","10_9",14,6,"17"
"747","P29","10_9",14,16,"17"
"339","791","8_9",6,16,"6"
"579","269","8_9",9,3,"9"
"754","738","8_9",14,13,"14"
