"two.stage.system.code","two.stage.system.TP","two.stage.system.FP","two.stage.system.FN","original.rules.code","original.rules.TP","original.rules.FP","original.rules.FN"
"140",1,0,0,"140",1,0,0
"141",1,0,0,"141",1,0,0
"142",1,0,0,"142",1,0,0
"143",1,0,0,"143",1,0,0
"144",1,0,0,"144",1,0,0
"145",1,0,0,"145",1,0,0
"146",1,0,0,"146",1,0,0
"147",1,0,0,"147",1,0,0
"148",1,0,0,"148",1,0,0
"149",1,0,0,"149",1,0,0
"150",1,0,0,"150",1,0,0
"151",1,0,0,"151",1,0,0
"152",1,0,0,"152",1,0,0
"153",1,0,0,"153",1,0,0
"154",1,0,0,"154",1,0,0
"155",1,0,0,"155",1,0,0
"156",1,0,0,"156",1,0,0
"157",1,0,0,"157",1,0,0
"158",1,0,0,"158",1,0,0
"159",1,0,0,"159",1,0,0
"160",1,0,0,"160",1,0,0
"161",1,0,0,"161",1,0,0
"162",1,0,0,"162",1,0,0
"163",1,0,0,"163",1,0,0
"170",1,0,0,"170",1,0,0
"171",1,0,0,"171",1,0,0
"172",1,0,0,"172",1,0,0
"174",1,0,0,"174",1,0,0
"180",1,0,0,"180",1,0,0
"181",1,0,0,"181",1,0,0
"182",1,0,0,"182",1,0,0
"183",1,0,0,"183",1,0,0
"184",1,0,0,"184",1,0,0
"185",1,0,0,"185",1,0,0
"186",1,0,0,"186",1,0,0
"187",1,0,0,"187",1,0,0
"188",1,0,0,"188",1,0,0
"189",1,0,0,"189",1,0,0
"190",1,0,0,"190",1,0,0
"191",1,0,0,"191",1,0,0
"192",1,0,0,"192",1,0,0
"193",1,0,0,"193",1,0,0
"194",1,0,0,"194",1,0,0
"195",1,0,0,"195",1,0,0
"196",1,0,0,"196",1,0,0
"197",1,0,0,"197",1,0,0
"198",1,0,0,"198",1,0,0
"199",1,0,0,"199",1,0,0
"200",1,0,0,"200",1,0,0
"201",1,0,0,"201",1,0,0
"202",1,0,0,"202",1,0,0
"203",1,0,0,"203",1,0,0
"204",1,0,0,"204",1,0,0
"205",1,0,0,"205",1,0,0
"206",1,0,0,"206",1,0,0
"207",1,0,0,"207",1,0,0
"208",1,0,0,"208",0,1,1
"209",1,0,0,"209",0,1,1
"225",1,0,0,"225",1,0,0
"239",0,1,6,"239",0,1,6
"240",1,0,0,"240",1,0,0
"241",1,0,0,"241",1,0,0
"242",1,0,0,"242",1,0,0
"243",1,0,0,"243",0,1,1
"244",1,0,0,"244",1,0,0
"245",1,0,0,"245",1,0,0
"246",1,0,0,"246",1,0,0
"250",1,0,0,"250",1,0,0
"251",1,0,0,"251",1,0,0
"252",1,0,0,"252",1,0,0
"253",1,0,0,"253",1,0,0
"254",1,0,0,"254",1,0,0
"255",1,0,0,"255",1,0,0
"256",1,0,0,"256",1,0,0
"257",1,0,0,"257",1,0,0
"258",1,0,0,"258",1,0,0
"260",0,1,1,"260",1,0,0
"261",1,0,0,"261",1,0,0
"262",1,1,0,"262",0,1,1
"268",1,0,0,"268",1,0,0
"270",1,0,0,"270",1,0,0
"271",1,0,0,"271",1,0,0
"272",1,0,0,"272",1,0,0
"273",1,1,0,"273",1,0,0
"274",1,0,0,"274",1,0,0
"275",0,1,2,"275",0,1,2
"277",1,1,1,"277",1,0,1
"278",2,0,0,"278",1,0,1
"279",0,1,0,"279",0,1,0
"280",1,0,0,"280",1,0,0
"282",1,0,0,"282",1,0,0
"283",1,0,0,"283",1,0,0
"284",1,0,0,"284",1,0,0
"285",1,0,0,"285",1,0,0
"286",1,0,0,"286",1,0,0
"287",1,0,0,"287",1,0,0
"288",1,0,0,"288",1,0,0
"289",1,0,0,"289",1,0,0
"290",1,0,0,"290",1,0,0
"291",1,0,0,"291",1,0,0
"292",1,0,0,"292",1,0,0
"294",1,0,0,"294",1,0,0
"295",1,0,0,"295",1,0,0
"296",1,0,0,"296",1,0,0
"297",1,0,0,"297",1,0,0
"298",1,0,0,"298",1,0,0
"299",0,1,1,"299",0,1,1
"300",1,0,0,"300",1,0,0
"301",1,0,0,"301",1,0,0
"303",1,0,0,"303",1,0,0
"304",1,0,0,"304",1,0,0
"306",1,0,0,"306",1,0,0
"307",1,0,0,"307",1,0,0
"309",1,0,1,"309",1,0,1
"310",1,0,1,"310",1,0,1
"311",0,1,1,"311",0,1,1
"314",1,0,0,"314",1,0,0
"317",0,1,1,"317",1,0,0
"318",0,1,3,"318",0,0,3
"319",1,0,0,"319",1,0,0
"332",1,0,1,"332",1,0,1
"336",1,0,0,"336",1,0,0
"337",1,0,0,"337",1,0,0
"339",1,0,0,"339",0,1,1
"340",1,0,0,"340",1,0,0
"341",1,0,0,"341",1,0,0
"342",1,0,0,"342",0,1,1
"343",1,0,0,"343",1,0,0
"344",1,0,0,"344",1,0,0
"345",1,0,0,"345",1,0,0
"346",1,0,0,"346",1,0,0
"347",1,0,0,"347",0,0,1
"348",1,0,1,"348",1,0,1
"353",1,1,1,"353",0,1,2
"354",1,0,0,"354",1,0,0
"355",1,0,1,"355",1,0,1
"356",0,1,1,"356",0,1,1
"357",1,0,1,"357",1,0,1
"360",0,1,1,"360",0,1,1
"361",1,0,0,"361",1,0,0
"362",1,0,0,"362",1,0,0
"363",1,1,0,"363",1,0,0
"364",1,0,0,"364",0,1,1
"365",1,0,0,"365",1,0,0
"366",1,0,0,"366",1,0,0
"369",1,0,0,"369",1,0,0
"370",1,0,0,"370",1,0,0
"371",1,0,0,"371",1,0,0
"372",0,1,1,"372",1,0,0
"376",1,0,0,"376",0,1,1
"377",1,1,0,"377",0,1,1
"379",1,0,1,"379",1,0,1
"380",1,0,0,"380",0,1,1
"381",1,0,0,"381",1,0,0
"383",1,0,0,"383",1,0,0
"384",1,1,0,"384",0,1,1
"386",1,1,0,"386",1,1,0
"389",1,0,1,"389",1,0,1
"393",1,0,0,"393",0,1,1
"394",1,0,0,"394",1,0,0
"395",1,0,0,"395",1,0,0
"396",1,0,0,"396",1,0,0
"397",1,0,0,"397",1,0,0
"398",1,0,0,"398",1,0,0
"401",1,0,0,"401",1,0,0
"402",1,0,0,"402",1,0,0
"403",1,0,0,"403",1,0,0
"404",1,0,0,"404",1,0,0
"410",1,0,0,"410",1,0,0
"411",1,0,0,"411",1,0,0
"412",1,0,0,"412",1,0,0
"413",1,0,0,"413",1,0,0
"414",1,0,1,"414",1,1,1
"415",0,1,1,"415",0,1,1
"416",1,0,0,"416",1,0,0
"423",1,0,0,"423",1,1,0
"424",1,0,0,"424",1,1,0
"425",1,0,0,"425",1,0,0
"426",1,0,0,"426",1,0,0
"427",1,0,0,"427",1,0,0
"428",1,0,0,"428",1,1,0
"429",1,1,0,"429",1,0,0
"430",1,0,0,"430",1,0,0
"431",1,0,0,"431",1,0,0
"432",0,1,1,"432",0,0,1
"433",1,0,1,"433",1,0,1
"434",1,0,1,"434",0,1,2
"435",1,0,0,"435",1,0,0
"436",1,0,0,"436",1,0,0
"437",1,0,1,"437",1,0,1
"438",1,0,0,"438",1,0,0
"440",1,0,0,"440",1,0,0
"441",1,0,0,"441",1,0,0
"442",1,0,0,"442",1,0,0
"443",1,0,0,"443",1,0,0
"444",1,0,0,"444",1,0,0
"445",1,0,0,"445",0,1,1
"446",1,0,0,"446",1,0,0
"447",1,0,0,"447",1,0,0
"448",1,0,0,"448",1,0,0
"453",1,0,0,"453",1,0,0
"456",1,0,0,"456",1,0,0
"457",1,0,0,"457",1,0,0
"459",1,0,0,"459",1,0,0
"472",1,0,0,"472",1,0,0
"473",1,0,0,"473",1,0,0
"474",1,0,0,"474",0,1,1
"476",1,1,0,"476",0,1,1
"477",0,1,1,"477",1,0,0
"478",1,0,0,"478",1,0,0
"491",1,0,0,"491",1,0,0
"492",1,0,0,"492",1,0,0
"493",1,0,0,"493",1,0,0
"494",1,0,0,"494",1,0,0
"500",0,3,1,"500",0,1,1
"501",1,0,0,"501",0,1,1
"502",1,0,1,"502",1,0,1
