"track","method","t(m_bl_insample).1","t(m_bl_insample).2","t(m_bl_insample).3","t(m_bl_insample).4","t(m_bl_all).1","t(m_bl_all).2","t(m_bl_all).3","t(m_bl_all).4","t(m_rr_all).1","t(m_rr_all).2","t(m_rr_all).3","t(m_rr_all).4","t(m_bl_full).1","t(m_bl_full).2","t(m_bl_full).3","t(m_bl_full).4","t(m_rr_full).1","t(m_rr_full).2","t(m_rr_full).3","t(m_rr_full).4"
"10_9","baseline_in_sample",0.6919105,0.4521935,0.5469388,0.3764045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_9","baseline_heldout_cv",NA,NA,NA,NA,0.6913793,0.4510686,0.5459496,0.3754682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_9","rerank_heldout_cv",NA,NA,NA,NA,NA,NA,NA,NA,0.7254642,0.6152981,0.6658551,0.4990876,NA,NA,NA,NA,NA,NA,NA,NA
"10_9","baseline_heldout_cv_fullden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6913793,0.4279616,0.5286750,0.3593190,NA,NA,NA,NA
"10_9","rerank_heldout_cv_fullden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7254642,0.5837780,0.6469545,0.4781469
"8_9","baseline_in_sample",0.8609272,0.7902736,0.8240887,0.7008086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8_9","baseline_heldout_cv",NA,NA,NA,NA,0.8609272,0.7902736,0.8240887,0.7008086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8_9","rerank_heldout_cv",NA,NA,NA,NA,NA,NA,NA,NA,0.8788820,0.8601824,0.8694316,0.7690217,NA,NA,NA,NA,NA,NA,NA,NA
"8_9","baseline_heldout_cv_fullden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8609272,0.7854985,0.8214850,0.6970509,NA,NA,NA,NA
"8_9","rerank_heldout_cv_fullden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8788820,0.8549849,0.8667688,0.7648649
