"track","model","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy"
"10_9","ClinicalBERT-base",0.995,30,4,0.582,0.337,0.427,0.271
"10_9","ClinicalBERT-stripped",0.995,30,4,0.6,0.344,0.437,0.28
"10_9","SapBERT-base",0.995,30,4,0.705,0.397,0.508,0.34
"10_9","SapBERT-stripped",0.995,30,4,0.724,0.406,0.52,0.351
"10_9","mpnet-base",0.995,30,1,0.708,0.409,0.518,0.35
"10_9","mpnet-stripped",0.995,30,4,0.706,0.404,0.514,0.346
"8_9","ClinicalBERT-base",0.99,5,3,0.732,0.692,0.711,0.552
"8_9","ClinicalBERT-stripped",0.99,5,3,0.742,0.686,0.713,0.554
"8_9","SapBERT-base",0.99,5,2,0.858,0.785,0.82,0.695
"8_9","SapBERT-stripped",0.99,5,2,0.826,0.761,0.792,0.656
"8_9","mpnet-base",0.99,5,2,0.808,0.713,0.758,0.61
"8_9","mpnet-stripped",0.99,5,2,0.797,0.725,0.759,0.612
