"track","model","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy"
"10_9","ClinicalBERT-base",0.995,30,1,0.59,0.327,0.421,0.266
"10_9","ClinicalBERT-base",0.995,30,2,0.568,0.169,0.26,0.149
"10_9","ClinicalBERT-base",0.995,30,3,0.669,0.298,0.412,0.26
"10_9","ClinicalBERT-base",0.995,30,4,0.582,0.337,0.427,0.271
"8_9","ClinicalBERT-base",0.99,5,1,0.627,0.758,0.686,0.523
"8_9","ClinicalBERT-base",0.99,5,2,0.659,0.601,0.629,0.459
"8_9","ClinicalBERT-base",0.99,5,3,0.732,0.692,0.711,0.552
"8_9","ClinicalBERT-base",0.99,5,4,0.612,0.77,0.682,0.517
"10_9","ClinicalBERT-stripped",0.995,30,1,0.609,0.335,0.432,0.276
"10_9","ClinicalBERT-stripped",0.995,30,2,0.608,0.18,0.278,0.162
"10_9","ClinicalBERT-stripped",0.995,30,3,0.684,0.303,0.42,0.266
"10_9","ClinicalBERT-stripped",0.995,30,4,0.6,0.344,0.437,0.28
"8_9","ClinicalBERT-stripped",0.99,5,1,0.632,0.746,0.684,0.52
"8_9","ClinicalBERT-stripped",0.99,5,2,0.676,0.586,0.628,0.458
"8_9","ClinicalBERT-stripped",0.99,5,3,0.742,0.686,0.713,0.554
"8_9","ClinicalBERT-stripped",0.99,5,4,0.618,0.749,0.677,0.512
"10_9","SapBERT-stripped",0.995,30,1,0.722,0.402,0.516,0.348
"10_9","SapBERT-stripped",0.995,30,2,0.869,0.304,0.45,0.291
"10_9","SapBERT-stripped",0.995,30,3,0.718,0.331,0.453,0.293
"10_9","SapBERT-stripped",0.995,30,4,0.724,0.406,0.52,0.351
"8_9","SapBERT-stripped",0.99,5,1,0.711,0.834,0.768,0.623
"8_9","SapBERT-stripped",0.99,5,2,0.826,0.761,0.792,0.656
"8_9","SapBERT-stripped",0.99,5,3,0.773,0.71,0.74,0.588
"8_9","SapBERT-stripped",0.99,5,4,0.71,0.837,0.768,0.624
"10_9","mpnet-base",0.995,30,1,0.708,0.409,0.518,0.35
"10_9","mpnet-base",0.995,30,2,0.835,0.297,0.438,0.28
"10_9","mpnet-base",0.995,30,3,0.721,0.334,0.457,0.296
"10_9","mpnet-base",0.995,30,4,0.705,0.41,0.518,0.35
"8_9","mpnet-base",0.99,5,1,0.697,0.801,0.745,0.594
"8_9","mpnet-base",0.99,5,2,0.808,0.713,0.758,0.61
"8_9","mpnet-base",0.99,5,3,0.77,0.707,0.737,0.584
"8_9","mpnet-base",0.99,5,4,0.696,0.801,0.745,0.593
"10_9","mpnet-stripped",0.995,30,1,0.705,0.403,0.513,0.345
"10_9","mpnet-stripped",0.995,30,2,0.836,0.295,0.436,0.279
"10_9","mpnet-stripped",0.995,30,3,0.725,0.332,0.455,0.295
"10_9","mpnet-stripped",0.995,30,4,0.706,0.404,0.514,0.346
"8_9","mpnet-stripped",0.99,5,1,0.69,0.807,0.744,0.592
"8_9","mpnet-stripped",0.99,5,2,0.797,0.725,0.759,0.612
"8_9","mpnet-stripped",0.99,5,3,0.769,0.713,0.74,0.587
"8_9","mpnet-stripped",0.99,5,4,0.691,0.81,0.746,0.594
"10_9","SapBERT-base",0.995,30,1,0.705,0.395,0.506,0.339
"10_9","SapBERT-base",0.995,30,2,0.845,0.296,0.438,0.28
"10_9","SapBERT-base",0.995,30,3,0.716,0.331,0.453,0.292
"10_9","SapBERT-base",0.995,30,4,0.705,0.397,0.508,0.34
"8_9","SapBERT-base",0.99,5,1,0.728,0.834,0.777,0.636
"8_9","SapBERT-base",0.99,5,2,0.858,0.785,0.82,0.695
"8_9","SapBERT-base",0.99,5,3,0.777,0.716,0.745,0.594
"8_9","SapBERT-base",0.99,5,4,0.727,0.837,0.778,0.637
