"icd9","top_target","top_frequency","track","track_label"
"140","C00",43,"10_9","ICD-9-CM to ICD-10-CA"
"141","C02",858,"10_9","ICD-9-CM to ICD-10-CA"
"142","C07",180,"10_9","ICD-9-CM to ICD-10-CA"
"143","C03",25,"10_9","ICD-9-CM to ICD-10-CA"
"144","C04",62,"10_9","ICD-9-CM to ICD-10-CA"
"145","C06",225,"10_9","ICD-9-CM to ICD-10-CA"
"146","C09",230,"10_9","ICD-9-CM to ICD-10-CA"
"147","C11",230,"10_9","ICD-9-CM to ICD-10-CA"
"148","C13",110,"10_9","ICD-9-CM to ICD-10-CA"
"149","C78",90,"10_9","ICD-9-CM to ICD-10-CA"
"150","C15",5855,"10_9","ICD-9-CM to ICD-10-CA"
"151","C16",5651,"10_9","ICD-9-CM to ICD-10-CA"
"152","C17",532,"10_9","ICD-9-CM to ICD-10-CA"
"153","C18",23624,"10_9","ICD-9-CM to ICD-10-CA"
"154","C20",8601,"10_9","ICD-9-CM to ICD-10-CA"
"155","C22",4579,"10_9","ICD-9-CM to ICD-10-CA"
"156","C78",1004,"10_9","ICD-9-CM to ICD-10-CA"
"157","C25",13417,"10_9","ICD-9-CM to ICD-10-CA"
"158","C78",291,"10_9","ICD-9-CM to ICD-10-CA"
"159","C78",1128,"10_9","ICD-9-CM to ICD-10-CA"
"160","C31",151,"10_9","ICD-9-CM to ICD-10-CA"
"161","C32",1002,"10_9","ICD-9-CM to ICD-10-CA"
"162","C34",53951,"10_9","ICD-9-CM to ICD-10-CA"
"163","C45",445,"10_9","ICD-9-CM to ICD-10-CA"
"164","C79",75,"10_9","ICD-9-CM to ICD-10-CA"
"165","C34",65,"10_9","ICD-9-CM to ICD-10-CA"
"170","C40",3104,"10_9","ICD-9-CM to ICD-10-CA"
"171","C49",2258,"10_9","ICD-9-CM to ICD-10-CA"
"172","C43",1766,"10_9","ICD-9-CM to ICD-10-CA"
"174","C50",20107,"10_9","ICD-9-CM to ICD-10-CA"
"175","C79",131,"10_9","ICD-9-CM to ICD-10-CA"
"176","C49",93,"10_9","ICD-9-CM to ICD-10-CA"
"179","C54",920,"10_9","ICD-9-CM to ICD-10-CA"
"180","C53",3658,"10_9","ICD-9-CM to ICD-10-CA"
"181","C58",146,"10_9","ICD-9-CM to ICD-10-CA"
"182","C54",5642,"10_9","ICD-9-CM to ICD-10-CA"
"183","C56",9106,"10_9","ICD-9-CM to ICD-10-CA"
"184","C51",1093,"10_9","ICD-9-CM to ICD-10-CA"
"185","C61",20064,"10_9","ICD-9-CM to ICD-10-CA"
"186","C62",855,"10_9","ICD-9-CM to ICD-10-CA"
"187","C60",311,"10_9","ICD-9-CM to ICD-10-CA"
