"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,3,1,0.587,0.354,0.442,0.284,566
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,3,2,0.597,0.313,0.411,0.258,491
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,3,3,0.618,0.264,0.37,0.227,400
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,3,4,0.558,0.376,0.449,0.289,631
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,5,1,0.588,0.364,0.45,0.29,580
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,5,2,0.548,0.324,0.407,0.256,555
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,5,3,0.566,0.295,0.388,0.24,488
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,5,4,0.523,0.394,0.449,0.29,706
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,10,1,0.586,0.365,0.45,0.29,584
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,10,2,0.485,0.347,0.405,0.254,670
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,10,3,0.503,0.338,0.404,0.254,630
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,10,4,0.473,0.416,0.443,0.284,824
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,15,1,0.586,0.365,0.45,0.29,584
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,15,2,0.445,0.358,0.397,0.247,753
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,15,3,0.464,0.361,0.406,0.255,728
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,15,4,0.441,0.427,0.434,0.277,907
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,20,1,0.586,0.367,0.451,0.292,587
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,20,2,0.418,0.367,0.391,0.243,822
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.95,20,3,0.439,0.378,0.406,0.255,806
