"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,3,1,0.524,0.331,0.406,0.254,592
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,3,2,0.503,0.298,0.374,0.23,555
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,3,3,0.596,0.265,0.367,0.224,416
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,3,4,0.495,0.356,0.414,0.261,675
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,5,1,0.526,0.34,0.413,0.26,607
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,5,2,0.464,0.319,0.378,0.233,644
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,5,3,0.537,0.301,0.386,0.239,525
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,5,4,0.465,0.383,0.42,0.266,772
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,10,1,0.524,0.342,0.414,0.261,611
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,10,2,0.4,0.348,0.372,0.228,816
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,10,3,0.451,0.347,0.392,0.244,720
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,10,4,0.408,0.412,0.41,0.258,947
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,15,1,0.525,0.343,0.415,0.261,612
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,15,2,0.369,0.367,0.368,0.226,931
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,15,3,0.413,0.374,0.393,0.244,848
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,15,4,0.38,0.431,0.404,0.253,1062
