"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,3,1,0.622,0.365,0.46,0.299,562
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,3,2,0.664,0.323,0.435,0.278,471
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,3,3,0.667,0.265,0.379,0.234,383
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,3,4,0.609,0.384,0.471,0.308,607
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,5,1,0.624,0.376,0.469,0.306,577
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,5,2,0.618,0.338,0.437,0.28,528
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,5,3,0.616,0.298,0.402,0.251,466
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,5,4,0.578,0.406,0.477,0.313,674
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,10,1,0.623,0.377,0.47,0.307,581
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,10,2,0.557,0.365,0.441,0.283,634
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,10,3,0.558,0.347,0.428,0.272,601
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,10,4,0.533,0.432,0.477,0.313,783
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,15,1,0.623,0.377,0.47,0.307,581
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,15,2,0.509,0.379,0.434,0.278,720
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,15,3,0.515,0.374,0.433,0.276,701
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,15,4,0.496,0.446,0.47,0.307,869
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,20,1,0.623,0.38,0.472,0.309,585
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,20,2,0.49,0.387,0.432,0.276,765
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,20,3,0.497,0.39,0.437,0.279,757
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,20,4,0.481,0.458,0.469,0.307,918
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,25,1,0.624,0.381,0.473,0.31,586
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,25,2,0.469,0.398,0.431,0.274,821
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,25,3,0.477,0.402,0.436,0.279,815
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,25,4,0.465,0.469,0.467,0.304,974
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,30,1,0.624,0.381,0.473,0.31,586
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,30,2,0.448,0.403,0.424,0.269,873
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,30,3,0.457,0.411,0.433,0.276,870
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,30,4,0.447,0.474,0.46,0.299,1026
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,3,1,0.642,0.356,0.458,0.297,532
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,3,2,0.727,0.253,0.375,0.231,334
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,3,3,0.697,0.248,0.366,0.224,340
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,3,4,0.644,0.36,0.462,0.3,535
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,5,1,0.644,0.367,0.468,0.305,547
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,5,2,0.723,0.256,0.378,0.233,340
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,5,3,0.695,0.272,0.391,0.243,376
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,5,4,0.644,0.372,0.472,0.309,555
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,10,1,0.642,0.368,0.468,0.306,551
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,10,2,0.72,0.26,0.382,0.236,347
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,10,3,0.699,0.3,0.42,0.266,412
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,10,4,0.641,0.378,0.476,0.312,566
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,15,1,0.642,0.368,0.468,0.306,551
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,15,2,0.719,0.263,0.385,0.238,350
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,15,3,0.703,0.314,0.434,0.277,428
