"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,3,1,0.535,0.33,0.408,0.256,594
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,3,2,0.515,0.299,0.378,0.233,561
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,3,3,0.609,0.266,0.37,0.227,419
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,3,4,0.505,0.356,0.418,0.264,680
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,5,1,0.537,0.339,0.416,0.263,609
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,5,2,0.476,0.32,0.383,0.237,650
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,5,3,0.55,0.302,0.39,0.242,528
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,5,4,0.475,0.383,0.424,0.269,777
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,10,1,0.536,0.34,0.416,0.263,613
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,10,2,0.41,0.349,0.377,0.232,824
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,10,3,0.464,0.348,0.398,0.248,723
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,10,4,0.417,0.412,0.414,0.262,954
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,15,1,0.537,0.342,0.418,0.264,614
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,15,2,0.38,0.369,0.374,0.231,939
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,15,3,0.425,0.376,0.399,0.249,852
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,15,4,0.39,0.432,0.41,0.258,1069
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,20,1,0.538,0.345,0.42,0.266,618
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,20,2,0.36,0.382,0.371,0.228,1023
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,20,3,0.402,0.394,0.398,0.248,941
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,20,4,0.372,0.446,0.406,0.255,1154
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,25,1,0.539,0.346,0.421,0.267,619
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,25,2,0.344,0.393,0.367,0.225,1104
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,25,3,0.383,0.408,0.395,0.246,1026
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,25,4,0.358,0.458,0.402,0.251,1236
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,30,1,0.539,0.346,0.421,0.267,619
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,30,2,0.326,0.4,0.359,0.219,1185
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,30,3,0.363,0.418,0.389,0.241,1110
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,30,4,0.341,0.465,0.393,0.245,1317
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,3,1,0.585,0.322,0.415,0.262,529
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,3,2,0.613,0.196,0.297,0.175,308
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,3,3,0.695,0.245,0.362,0.222,340
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,3,4,0.59,0.329,0.422,0.268,536
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,5,1,0.587,0.332,0.424,0.269,544
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,5,2,0.609,0.196,0.297,0.174,310
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,5,3,0.693,0.265,0.383,0.237,368
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,5,4,0.589,0.338,0.43,0.274,553
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,10,1,0.585,0.333,0.424,0.269,548
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,10,2,0.601,0.201,0.301,0.177,321
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,10,3,0.688,0.285,0.403,0.252,399
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,10,4,0.583,0.344,0.433,0.276,568
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,1,0.586,0.334,0.425,0.27,549
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,2,0.594,0.202,0.301,0.177,326
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,3,0.68,0.295,0.411,0.259,417
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,4,0.581,0.346,0.434,0.277,574
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,20,1,0.587,0.337,0.428,0.273,553
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,20,2,0.59,0.204,0.303,0.179,332
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,20,3,0.68,0.304,0.42,0.266,430
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,20,4,0.58,0.351,0.437,0.28,583
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,25,1,0.588,0.338,0.429,0.274,554
