"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,3,1,0.541,0.333,0.412,0.26,593
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,3,2,0.523,0.303,0.384,0.237,562
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,3,3,0.609,0.266,0.37,0.227,420
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,3,4,0.509,0.36,0.422,0.267,682
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,5,1,0.543,0.343,0.42,0.266,608
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,5,2,0.482,0.324,0.388,0.241,653
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,5,3,0.548,0.302,0.389,0.242,530
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,5,4,0.478,0.386,0.427,0.272,781
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,10,1,0.542,0.344,0.421,0.266,612
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,10,2,0.417,0.353,0.382,0.237,821
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,10,3,0.466,0.349,0.399,0.249,722
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,10,4,0.422,0.415,0.418,0.265,952
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,15,1,0.543,0.345,0.422,0.267,613
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,15,2,0.389,0.372,0.38,0.235,929
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,15,3,0.43,0.376,0.401,0.251,843
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,15,4,0.396,0.434,0.414,0.261,1060
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,20,1,0.544,0.348,0.424,0.269,617
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,20,2,0.368,0.385,0.376,0.232,1014
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,20,3,0.406,0.394,0.4,0.25,933
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,20,4,0.378,0.448,0.41,0.258,1146
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,25,1,0.545,0.349,0.426,0.27,618
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,25,2,0.352,0.396,0.373,0.229,1090
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,25,3,0.387,0.408,0.397,0.248,1014
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,25,4,0.363,0.46,0.406,0.255,1223
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,30,1,0.545,0.349,0.426,0.27,618
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,30,2,0.335,0.404,0.366,0.224,1170
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,30,3,0.368,0.419,0.392,0.244,1097
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.95,30,4,0.347,0.469,0.399,0.249,1303
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,3,1,0.593,0.327,0.422,0.267,530
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,3,2,0.626,0.202,0.305,0.18,310
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,3,3,0.695,0.245,0.362,0.222,339
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,3,4,0.597,0.333,0.428,0.272,538
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,5,1,0.594,0.336,0.429,0.273,545
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,5,2,0.621,0.203,0.306,0.18,315
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,5,3,0.694,0.266,0.385,0.238,369
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,5,4,0.595,0.344,0.436,0.279,558
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,10,1,0.593,0.337,0.43,0.274,549
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,10,2,0.613,0.208,0.311,0.184,327
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,10,3,0.687,0.288,0.406,0.255,404
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,10,4,0.59,0.35,0.439,0.282,574
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,15,1,0.594,0.338,0.431,0.275,550
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,15,2,0.606,0.21,0.312,0.185,334
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,15,3,0.681,0.299,0.416,0.262,422
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,15,4,0.587,0.353,0.441,0.283,582
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,20,1,0.595,0.342,0.434,0.277,554
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,20,2,0.599,0.213,0.314,0.187,343
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,20,3,0.679,0.309,0.425,0.27,438
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,20,4,0.585,0.36,0.446,0.287,594
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,25,1,0.596,0.343,0.435,0.278,555
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,25,2,0.598,0.216,0.317,0.188,347
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,25,3,0.677,0.315,0.43,0.274,447
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,25,4,0.585,0.363,0.448,0.289,599
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,30,1,0.596,0.343,0.435,0.278,555
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,30,2,0.584,0.216,0.315,0.187,355
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,30,3,0.667,0.318,0.431,0.274,458
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,30,4,0.577,0.363,0.446,0.287,607
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,3,1,0.606,0.319,0.418,0.264,506
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,3,2,0.631,0.175,0.274,0.159,267
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,3,3,0.693,0.241,0.358,0.218,334
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,3,4,0.609,0.322,0.421,0.267,510
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,5,1,0.607,0.329,0.427,0.271,521
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,5,2,0.626,0.175,0.274,0.158,270
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,5,3,0.693,0.26,0.378,0.233,362
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,5,4,0.607,0.332,0.429,0.273,528
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.995,10,1,0.606,0.33,0.427,0.272,525
