"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","mpnet-base","mpnet","base",0.95,3,1,0.707,0.395,0.507,0.339,537
"10_9","mpnet-base","mpnet","base",0.95,3,2,0.83,0.317,0.459,0.298,367
"10_9","mpnet-base","mpnet","base",0.95,3,3,0.696,0.256,0.374,0.23,353
"10_9","mpnet-base","mpnet","base",0.95,3,4,0.703,0.397,0.507,0.34,543
"10_9","mpnet-base","mpnet","base",0.95,5,1,0.705,0.403,0.513,0.345,551
"10_9","mpnet-base","mpnet","base",0.95,5,2,0.818,0.322,0.462,0.301,379
"10_9","mpnet-base","mpnet","base",0.95,5,3,0.695,0.287,0.406,0.255,397
"10_9","mpnet-base","mpnet","base",0.95,5,4,0.696,0.411,0.517,0.348,569
"10_9","mpnet-base","mpnet","base",0.95,10,1,0.704,0.406,0.515,0.346,556
"10_9","mpnet-base","mpnet","base",0.95,10,2,0.813,0.335,0.474,0.311,397
"10_9","mpnet-base","mpnet","base",0.95,10,3,0.705,0.324,0.444,0.286,443
"10_9","mpnet-base","mpnet","base",0.95,10,4,0.695,0.426,0.528,0.359,592
"10_9","mpnet-base","mpnet","base",0.95,15,1,0.704,0.406,0.515,0.346,556
"10_9","mpnet-base","mpnet","base",0.95,15,2,0.812,0.337,0.476,0.313,401
"10_9","mpnet-base","mpnet","base",0.95,15,3,0.709,0.338,0.458,0.297,461
"10_9","mpnet-base","mpnet","base",0.95,15,4,0.695,0.428,0.53,0.36,596
"10_9","mpnet-base","mpnet","base",0.95,20,1,0.703,0.408,0.516,0.348,559
"10_9","mpnet-base","mpnet","base",0.95,20,2,0.809,0.339,0.478,0.314,405
"10_9","mpnet-base","mpnet","base",0.95,20,3,0.708,0.349,0.468,0.305,476
"10_9","mpnet-base","mpnet","base",0.95,20,4,0.693,0.432,0.532,0.363,603
"10_9","mpnet-base","mpnet","base",0.95,25,1,0.704,0.409,0.517,0.349,560
"10_9","mpnet-base","mpnet","base",0.95,25,2,0.799,0.34,0.477,0.314,411
"10_9","mpnet-base","mpnet","base",0.95,25,3,0.703,0.355,0.472,0.309,488
"10_9","mpnet-base","mpnet","base",0.95,25,4,0.689,0.434,0.533,0.363,610
"10_9","mpnet-base","mpnet","base",0.95,30,1,0.704,0.409,0.517,0.349,560
"10_9","mpnet-base","mpnet","base",0.95,30,2,0.795,0.343,0.479,0.315,416
"10_9","mpnet-base","mpnet","base",0.95,30,3,0.698,0.361,0.476,0.312,498
"10_9","mpnet-base","mpnet","base",0.95,30,4,0.686,0.436,0.533,0.364,615
"10_9","mpnet-base","mpnet","base",0.99,3,1,0.712,0.395,0.508,0.34,534
"10_9","mpnet-base","mpnet","base",0.99,3,2,0.835,0.297,0.438,0.28,340
"10_9","mpnet-base","mpnet","base",0.99,3,3,0.7,0.254,0.373,0.229,348
"10_9","mpnet-base","mpnet","base",0.99,3,4,0.709,0.395,0.507,0.34,536
"10_9","mpnet-base","mpnet","base",0.99,5,1,0.709,0.403,0.514,0.346,548
"10_9","mpnet-base","mpnet","base",0.99,5,2,0.835,0.298,0.439,0.281,341
"10_9","mpnet-base","mpnet","base",0.99,5,3,0.709,0.281,0.402,0.252,380
"10_9","mpnet-base","mpnet","base",0.99,5,4,0.707,0.404,0.514,0.346,551
"10_9","mpnet-base","mpnet","base",0.99,10,1,0.708,0.406,0.516,0.347,553
"10_9","mpnet-base","mpnet","base",0.99,10,2,0.831,0.299,0.44,0.282,344
"10_9","mpnet-base","mpnet","base",0.99,10,3,0.716,0.306,0.429,0.273,411
"10_9","mpnet-base","mpnet","base",0.99,10,4,0.703,0.408,0.516,0.348,559
"10_9","mpnet-base","mpnet","base",0.99,15,1,0.708,0.406,0.516,0.347,553
"10_9","mpnet-base","mpnet","base",0.99,15,2,0.831,0.3,0.441,0.283,345
"10_9","mpnet-base","mpnet","base",0.99,15,3,0.72,0.319,0.442,0.284,426
"10_9","mpnet-base","mpnet","base",0.99,15,4,0.704,0.409,0.517,0.349,560
"10_9","mpnet-base","mpnet","base",0.99,20,1,0.707,0.408,0.517,0.349,556
"10_9","mpnet-base","mpnet","base",0.99,20,2,0.832,0.301,0.442,0.284,346
"10_9","mpnet-base","mpnet","base",0.99,20,3,0.721,0.329,0.452,0.292,438
"10_9","mpnet-base","mpnet","base",0.99,20,4,0.704,0.412,0.52,0.351,564
"10_9","mpnet-base","mpnet","base",0.99,25,1,0.708,0.409,0.518,0.35,557
"10_9","mpnet-base","mpnet","base",0.99,25,2,0.832,0.302,0.443,0.285,347
"10_9","mpnet-base","mpnet","base",0.99,25,3,0.724,0.335,0.458,0.297,445
"10_9","mpnet-base","mpnet","base",0.99,25,4,0.705,0.414,0.522,0.353,566
"10_9","mpnet-base","mpnet","base",0.99,30,1,0.708,0.409,0.518,0.35,557
"10_9","mpnet-base","mpnet","base",0.99,30,2,0.832,0.302,0.443,0.285,347
"10_9","mpnet-base","mpnet","base",0.99,30,3,0.722,0.338,0.46,0.299,450
"10_9","mpnet-base","mpnet","base",0.99,30,4,0.705,0.414,0.522,0.353,566
"10_9","mpnet-base","mpnet","base",0.995,3,1,0.712,0.395,0.508,0.34,534
"10_9","mpnet-base","mpnet","base",0.995,3,2,0.839,0.296,0.438,0.28,337
"10_9","mpnet-base","mpnet","base",0.995,3,3,0.702,0.254,0.373,0.229,347
"10_9","mpnet-base","mpnet","base",0.995,3,4,0.71,0.395,0.508,0.34,535
"10_9","mpnet-base","mpnet","base",0.995,5,1,0.709,0.403,0.514,0.346,548
"10_9","mpnet-base","mpnet","base",0.995,5,2,0.84,0.297,0.439,0.281,338
"10_9","mpnet-base","mpnet","base",0.995,5,3,0.711,0.281,0.403,0.252,379
"10_9","mpnet-base","mpnet","base",0.995,5,4,0.708,0.404,0.514,0.347,550
"10_9","mpnet-base","mpnet","base",0.995,10,1,0.708,0.406,0.516,0.347,553
"10_9","mpnet-base","mpnet","base",0.995,10,2,0.835,0.297,0.438,0.28,340
