"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","mpnet-stripped","mpnet","stripped",0.95,3,1,0.688,0.394,0.501,0.334,536
"10_9","mpnet-stripped","mpnet","stripped",0.95,3,2,0.815,0.316,0.455,0.295,363
"10_9","mpnet-stripped","mpnet","stripped",0.95,3,3,0.682,0.254,0.37,0.227,349
"10_9","mpnet-stripped","mpnet","stripped",0.95,3,4,0.687,0.394,0.501,0.334,537
"10_9","mpnet-stripped","mpnet","stripped",0.95,5,1,0.685,0.401,0.506,0.339,549
"10_9","mpnet-stripped","mpnet","stripped",0.95,5,2,0.81,0.318,0.457,0.296,368
"10_9","mpnet-stripped","mpnet","stripped",0.95,5,3,0.681,0.283,0.4,0.25,389
"10_9","mpnet-stripped","mpnet","stripped",0.95,5,4,0.681,0.403,0.506,0.339,555
"10_9","mpnet-stripped","mpnet","stripped",0.95,10,1,0.682,0.402,0.506,0.339,553
"10_9","mpnet-stripped","mpnet","stripped",0.95,10,2,0.796,0.326,0.463,0.3,383
"10_9","mpnet-stripped","mpnet","stripped",0.95,10,3,0.681,0.315,0.431,0.274,433
"10_9","mpnet-stripped","mpnet","stripped",0.95,10,4,0.672,0.412,0.511,0.343,574
"10_9","mpnet-stripped","mpnet","stripped",0.95,15,1,0.682,0.402,0.506,0.339,553
"10_9","mpnet-stripped","mpnet","stripped",0.95,15,2,0.788,0.33,0.465,0.303,392
"10_9","mpnet-stripped","mpnet","stripped",0.95,15,3,0.684,0.331,0.446,0.287,453
"10_9","mpnet-stripped","mpnet","stripped",0.95,15,4,0.669,0.416,0.513,0.345,583
"10_9","mpnet-stripped","mpnet","stripped",0.95,20,1,0.682,0.404,0.507,0.34,556
"10_9","mpnet-stripped","mpnet","stripped",0.95,20,2,0.785,0.332,0.467,0.304,396
"10_9","mpnet-stripped","mpnet","stripped",0.95,20,3,0.685,0.34,0.454,0.294,466
"10_9","mpnet-stripped","mpnet","stripped",0.95,20,4,0.668,0.42,0.516,0.348,590
"10_9","mpnet-stripped","mpnet","stripped",0.95,25,1,0.682,0.406,0.509,0.341,557
"10_9","mpnet-stripped","mpnet","stripped",0.95,25,2,0.778,0.333,0.466,0.304,401
"10_9","mpnet-stripped","mpnet","stripped",0.95,25,3,0.681,0.346,0.459,0.298,476
"10_9","mpnet-stripped","mpnet","stripped",0.95,25,4,0.664,0.423,0.517,0.348,596
"10_9","mpnet-stripped","mpnet","stripped",0.95,30,1,0.682,0.406,0.509,0.341,557
"10_9","mpnet-stripped","mpnet","stripped",0.95,30,2,0.775,0.334,0.467,0.304,404
"10_9","mpnet-stripped","mpnet","stripped",0.95,30,3,0.678,0.35,0.462,0.3,484
"10_9","mpnet-stripped","mpnet","stripped",0.95,30,4,0.663,0.424,0.517,0.349,599
"10_9","mpnet-stripped","mpnet","stripped",0.99,3,1,0.692,0.392,0.5,0.334,530
"10_9","mpnet-stripped","mpnet","stripped",0.99,3,2,0.82,0.296,0.435,0.278,338
"10_9","mpnet-stripped","mpnet","stripped",0.99,3,3,0.684,0.254,0.37,0.227,348
"10_9","mpnet-stripped","mpnet","stripped",0.99,3,4,0.692,0.392,0.5,0.334,530
"10_9","mpnet-stripped","mpnet","stripped",0.99,5,1,0.689,0.399,0.505,0.338,543
"10_9","mpnet-stripped","mpnet","stripped",0.99,5,2,0.82,0.296,0.435,0.278,338
"10_9","mpnet-stripped","mpnet","stripped",0.99,5,3,0.688,0.281,0.399,0.249,382
"10_9","mpnet-stripped","mpnet","stripped",0.99,5,4,0.689,0.399,0.505,0.338,543
"10_9","mpnet-stripped","mpnet","stripped",0.99,10,1,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.99,10,2,0.82,0.296,0.435,0.278,338
"10_9","mpnet-stripped","mpnet","stripped",0.99,10,3,0.695,0.304,0.423,0.268,410
"10_9","mpnet-stripped","mpnet","stripped",0.99,10,4,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.99,15,1,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.99,15,2,0.818,0.297,0.436,0.278,340
"10_9","mpnet-stripped","mpnet","stripped",0.99,15,3,0.702,0.317,0.437,0.279,423
"10_9","mpnet-stripped","mpnet","stripped",0.99,15,4,0.685,0.401,0.506,0.339,549
"10_9","mpnet-stripped","mpnet","stripped",0.99,20,1,0.685,0.402,0.507,0.34,550
"10_9","mpnet-stripped","mpnet","stripped",0.99,20,2,0.818,0.298,0.437,0.279,341
"10_9","mpnet-stripped","mpnet","stripped",0.99,20,3,0.704,0.326,0.446,0.286,433
"10_9","mpnet-stripped","mpnet","stripped",0.99,20,4,0.685,0.404,0.508,0.341,553
"10_9","mpnet-stripped","mpnet","stripped",0.99,25,1,0.686,0.403,0.508,0.341,551
"10_9","mpnet-stripped","mpnet","stripped",0.99,25,2,0.818,0.298,0.437,0.279,341
"10_9","mpnet-stripped","mpnet","stripped",0.99,25,3,0.705,0.33,0.45,0.29,438
"10_9","mpnet-stripped","mpnet","stripped",0.99,25,4,0.686,0.406,0.51,0.342,554
"10_9","mpnet-stripped","mpnet","stripped",0.99,30,1,0.686,0.403,0.508,0.341,551
"10_9","mpnet-stripped","mpnet","stripped",0.99,30,2,0.819,0.299,0.438,0.28,342
"10_9","mpnet-stripped","mpnet","stripped",0.99,30,3,0.705,0.334,0.453,0.293,444
"10_9","mpnet-stripped","mpnet","stripped",0.99,30,4,0.686,0.407,0.511,0.343,555
"10_9","mpnet-stripped","mpnet","stripped",0.995,3,1,0.692,0.392,0.5,0.334,530
"10_9","mpnet-stripped","mpnet","stripped",0.995,3,2,0.818,0.293,0.431,0.276,336
"10_9","mpnet-stripped","mpnet","stripped",0.995,3,3,0.684,0.254,0.37,0.227,348
"10_9","mpnet-stripped","mpnet","stripped",0.995,3,4,0.692,0.392,0.5,0.334,530
"10_9","mpnet-stripped","mpnet","stripped",0.995,5,1,0.689,0.399,0.505,0.338,543
"10_9","mpnet-stripped","mpnet","stripped",0.995,5,2,0.818,0.293,0.431,0.276,336
"10_9","mpnet-stripped","mpnet","stripped",0.995,5,3,0.688,0.281,0.399,0.249,382
"10_9","mpnet-stripped","mpnet","stripped",0.995,5,4,0.689,0.399,0.505,0.338,543
"10_9","mpnet-stripped","mpnet","stripped",0.995,10,1,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.995,10,2,0.818,0.293,0.431,0.276,336
"10_9","mpnet-stripped","mpnet","stripped",0.995,10,3,0.695,0.304,0.423,0.268,410
"10_9","mpnet-stripped","mpnet","stripped",0.995,10,4,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.995,15,1,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.995,15,2,0.819,0.295,0.434,0.277,337
"10_9","mpnet-stripped","mpnet","stripped",0.995,15,3,0.704,0.317,0.437,0.28,422
"10_9","mpnet-stripped","mpnet","stripped",0.995,15,4,0.686,0.401,0.506,0.339,548
"10_9","mpnet-stripped","mpnet","stripped",0.995,20,1,0.685,0.402,0.507,0.34,550
"10_9","mpnet-stripped","mpnet","stripped",0.995,20,2,0.819,0.295,0.434,0.277,337
"10_9","mpnet-stripped","mpnet","stripped",0.995,20,3,0.705,0.324,0.444,0.286,431
"10_9","mpnet-stripped","mpnet","stripped",0.995,20,4,0.686,0.403,0.508,0.341,551
"10_9","mpnet-stripped","mpnet","stripped",0.995,25,1,0.686,0.403,0.508,0.341,551
"10_9","mpnet-stripped","mpnet","stripped",0.995,25,2,0.819,0.295,0.434,0.277,337
"10_9","mpnet-stripped","mpnet","stripped",0.995,25,3,0.706,0.329,0.449,0.289,436
"10_9","mpnet-stripped","mpnet","stripped",0.995,25,4,0.687,0.404,0.509,0.341,552
"10_9","mpnet-stripped","mpnet","stripped",0.995,30,1,0.686,0.403,0.508,0.341,551
"10_9","mpnet-stripped","mpnet","stripped",0.995,30,2,0.819,0.295,0.434,0.277,337
"10_9","mpnet-stripped","mpnet","stripped",0.995,30,3,0.705,0.332,0.451,0.291,441
"10_9","mpnet-stripped","mpnet","stripped",0.995,30,4,0.687,0.404,0.509,0.341,552
"10_9","mpnet-stripped","mpnet","stripped",0.999,3,1,0.694,0.392,0.501,0.334,529
"10_9","mpnet-stripped","mpnet","stripped",0.999,3,2,0.82,0.291,0.43,0.274,333
"10_9","mpnet-stripped","mpnet","stripped",0.999,3,3,0.684,0.254,0.37,0.227,348
