"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","SapBERT-base-regen","SapBERT","base",0.95,3,1,0.706,0.39,0.502,0.335,529
"10_9","SapBERT-base-regen","SapBERT","base",0.95,3,2,0.832,0.318,0.46,0.299,366
"10_9","SapBERT-base-regen","SapBERT","base",0.95,3,3,0.701,0.255,0.374,0.23,349
"10_9","SapBERT-base-regen","SapBERT","base",0.95,3,4,0.709,0.395,0.507,0.34,534
"10_9","SapBERT-base-regen","SapBERT","base",0.95,5,1,0.704,0.398,0.509,0.341,543
"10_9","SapBERT-base-regen","SapBERT","base",0.95,5,2,0.819,0.323,0.463,0.302,378
"10_9","SapBERT-base-regen","SapBERT","base",0.95,5,3,0.695,0.285,0.404,0.253,394
"10_9","SapBERT-base-regen","SapBERT","base",0.95,5,4,0.701,0.408,0.516,0.347,558
"10_9","SapBERT-base-regen","SapBERT","base",0.95,10,1,0.701,0.398,0.508,0.34,546
"10_9","SapBERT-base-regen","SapBERT","base",0.95,10,2,0.817,0.334,0.474,0.311,391
"10_9","SapBERT-base-regen","SapBERT","base",0.95,10,3,0.709,0.322,0.443,0.285,437
"10_9","SapBERT-base-regen","SapBERT","base",0.95,10,4,0.7,0.418,0.523,0.355,574
"10_9","SapBERT-base-regen","SapBERT","base",0.95,15,1,0.701,0.398,0.508,0.34,546
"10_9","SapBERT-base-regen","SapBERT","base",0.95,15,2,0.805,0.335,0.473,0.31,399
"10_9","SapBERT-base-regen","SapBERT","base",0.95,15,3,0.706,0.338,0.457,0.297,461
"10_9","SapBERT-base-regen","SapBERT","base",0.95,15,4,0.693,0.419,0.522,0.354,582
"10_9","SapBERT-base-regen","SapBERT","base",0.95,20,1,0.701,0.401,0.51,0.343,550
"10_9","SapBERT-base-regen","SapBERT","base",0.95,20,2,0.801,0.339,0.476,0.313,406
"10_9","SapBERT-base-regen","SapBERT","base",0.95,20,3,0.705,0.349,0.467,0.304,476
"10_9","SapBERT-base-regen","SapBERT","base",0.95,20,4,0.692,0.427,0.528,0.359,593
