"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","SapBERT-base","SapBERT","base",0.95,3,1,0.69,0.39,0.498,0.332,529
"10_9","SapBERT-base","SapBERT","base",0.95,3,2,0.814,0.318,0.457,0.297,366
"10_9","SapBERT-base","SapBERT","base",0.95,3,3,0.685,0.255,0.372,0.228,349
"10_9","SapBERT-base","SapBERT","base",0.95,3,4,0.693,0.395,0.503,0.336,534
"10_9","SapBERT-base","SapBERT","base",0.95,5,1,0.687,0.398,0.504,0.337,543
"10_9","SapBERT-base","SapBERT","base",0.95,5,2,0.802,0.323,0.461,0.299,378
"10_9","SapBERT-base","SapBERT","base",0.95,5,3,0.678,0.285,0.401,0.251,394
"10_9","SapBERT-base","SapBERT","base",0.95,5,4,0.685,0.408,0.511,0.343,558
"10_9","SapBERT-base","SapBERT","base",0.95,10,1,0.683,0.398,0.503,0.336,546
"10_9","SapBERT-base","SapBERT","base",0.95,10,2,0.801,0.334,0.471,0.308,391
"10_9","SapBERT-base","SapBERT","base",0.95,10,3,0.691,0.322,0.439,0.282,437
"10_9","SapBERT-base","SapBERT","base",0.95,10,4,0.683,0.418,0.519,0.35,574
"10_9","SapBERT-base","SapBERT","base",0.95,15,1,0.683,0.398,0.503,0.336,546
"10_9","SapBERT-base","SapBERT","base",0.95,15,2,0.787,0.335,0.47,0.307,399
"10_9","SapBERT-base","SapBERT","base",0.95,15,3,0.688,0.338,0.453,0.293,461
"10_9","SapBERT-base","SapBERT","base",0.95,15,4,0.675,0.419,0.517,0.349,582
"10_9","SapBERT-base","SapBERT","base",0.95,20,1,0.684,0.401,0.506,0.338,550
"10_9","SapBERT-base","SapBERT","base",0.95,20,2,0.783,0.339,0.473,0.31,406
"10_9","SapBERT-base","SapBERT","base",0.95,20,3,0.687,0.349,0.463,0.301,476
"10_9","SapBERT-base","SapBERT","base",0.95,20,4,0.675,0.427,0.523,0.354,593
"10_9","SapBERT-base","SapBERT","base",0.95,25,1,0.684,0.402,0.506,0.339,551
"10_9","SapBERT-base","SapBERT","base",0.95,25,2,0.783,0.339,0.473,0.31,406
"10_9","SapBERT-base","SapBERT","base",0.95,25,3,0.688,0.355,0.468,0.306,484
"10_9","SapBERT-base","SapBERT","base",0.95,25,4,0.675,0.428,0.524,0.355,594
"10_9","SapBERT-base","SapBERT","base",0.95,30,1,0.684,0.402,0.506,0.339,551
"10_9","SapBERT-base","SapBERT","base",0.95,30,2,0.782,0.34,0.474,0.311,408
"10_9","SapBERT-base","SapBERT","base",0.95,30,3,0.686,0.361,0.473,0.31,493
"10_9","SapBERT-base","SapBERT","base",0.95,30,4,0.674,0.429,0.524,0.355,596
"10_9","SapBERT-base","SapBERT","base",0.99,3,1,0.692,0.383,0.493,0.327,519
"10_9","SapBERT-base","SapBERT","base",0.99,3,2,0.825,0.297,0.437,0.279,337
"10_9","SapBERT-base","SapBERT","base",0.99,3,3,0.68,0.25,0.366,0.223,344
"10_9","SapBERT-base","SapBERT","base",0.99,3,4,0.692,0.383,0.493,0.327,519
"10_9","SapBERT-base","SapBERT","base",0.99,5,1,0.689,0.393,0.501,0.334,534
"10_9","SapBERT-base","SapBERT","base",0.99,5,2,0.825,0.297,0.437,0.279,337
"10_9","SapBERT-base","SapBERT","base",0.99,5,3,0.681,0.275,0.392,0.244,379
"10_9","SapBERT-base","SapBERT","base",0.99,5,4,0.689,0.393,0.501,0.334,534
"10_9","SapBERT-base","SapBERT","base",0.99,10,1,0.685,0.393,0.499,0.333,537
"10_9","SapBERT-base","SapBERT","base",0.99,10,2,0.826,0.299,0.439,0.281,339
"10_9","SapBERT-base","SapBERT","base",0.99,10,3,0.692,0.302,0.42,0.266,409
"10_9","SapBERT-base","SapBERT","base",0.99,10,4,0.686,0.395,0.501,0.335,539
"10_9","SapBERT-base","SapBERT","base",0.99,15,1,0.685,0.393,0.499,0.333,537
"10_9","SapBERT-base","SapBERT","base",0.99,15,2,0.826,0.299,0.439,0.281,339
"10_9","SapBERT-base","SapBERT","base",0.99,15,3,0.698,0.316,0.435,0.278,424
"10_9","SapBERT-base","SapBERT","base",0.99,15,4,0.686,0.395,0.501,0.335,539
"10_9","SapBERT-base","SapBERT","base",0.99,20,1,0.686,0.396,0.502,0.335,541
"10_9","SapBERT-base","SapBERT","base",0.99,20,2,0.824,0.3,0.44,0.282,341
"10_9","SapBERT-base","SapBERT","base",0.99,20,3,0.698,0.323,0.442,0.284,434
"10_9","SapBERT-base","SapBERT","base",0.99,20,4,0.686,0.399,0.505,0.338,545
"10_9","SapBERT-base","SapBERT","base",0.99,25,1,0.686,0.397,0.503,0.336,542
"10_9","SapBERT-base","SapBERT","base",0.99,25,2,0.824,0.3,0.44,0.282,341
"10_9","SapBERT-base","SapBERT","base",0.99,25,3,0.7,0.329,0.448,0.288,440
"10_9","SapBERT-base","SapBERT","base",0.99,25,4,0.687,0.4,0.506,0.338,546
"10_9","SapBERT-base","SapBERT","base",0.99,30,1,0.686,0.397,0.503,0.336,542
"10_9","SapBERT-base","SapBERT","base",0.99,30,2,0.822,0.3,0.44,0.282,342
"10_9","SapBERT-base","SapBERT","base",0.99,30,3,0.696,0.333,0.45,0.291,448
"10_9","SapBERT-base","SapBERT","base",0.99,30,4,0.686,0.4,0.505,0.338,547
"10_9","SapBERT-base","SapBERT","base",0.995,3,1,0.692,0.381,0.491,0.326,516
"10_9","SapBERT-base","SapBERT","base",0.995,3,2,0.826,0.293,0.433,0.276,333
"10_9","SapBERT-base","SapBERT","base",0.995,3,3,0.68,0.25,0.366,0.223,344
"10_9","SapBERT-base","SapBERT","base",0.995,3,4,0.692,0.381,0.491,0.326,516
"10_9","SapBERT-base","SapBERT","base",0.995,5,1,0.689,0.391,0.499,0.332,531
"10_9","SapBERT-base","SapBERT","base",0.995,5,2,0.826,0.293,0.433,0.276,333
"10_9","SapBERT-base","SapBERT","base",0.995,5,3,0.683,0.275,0.392,0.244,378
"10_9","SapBERT-base","SapBERT","base",0.995,5,4,0.689,0.391,0.499,0.332,531
"10_9","SapBERT-base","SapBERT","base",0.995,10,1,0.685,0.391,0.498,0.331,534
"10_9","SapBERT-base","SapBERT","base",0.995,10,2,0.827,0.296,0.436,0.278,335
"10_9","SapBERT-base","SapBERT","base",0.995,10,3,0.693,0.301,0.42,0.266,407
"10_9","SapBERT-base","SapBERT","base",0.995,10,4,0.687,0.393,0.5,0.333,536
"10_9","SapBERT-base","SapBERT","base",0.995,15,1,0.685,0.391,0.498,0.331,534
"10_9","SapBERT-base","SapBERT","base",0.995,15,2,0.827,0.296,0.436,0.278,335
"10_9","SapBERT-base","SapBERT","base",0.995,15,3,0.699,0.315,0.434,0.277,422
