"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,3,1,0.718,0.391,0.506,0.339,522
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,3,2,0.854,0.324,0.47,0.307,364
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,3,3,0.7,0.254,0.373,0.229,348
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,3,4,0.72,0.4,0.514,0.346,533
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,5,1,0.717,0.4,0.514,0.346,536
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,5,2,0.842,0.329,0.473,0.31,374
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,5,3,0.693,0.284,0.403,0.252,394
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,5,4,0.712,0.412,0.522,0.353,555
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,10,1,0.714,0.4,0.513,0.345,539
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,10,2,0.836,0.336,0.479,0.315,385
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,10,3,0.699,0.317,0.436,0.279,436
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,10,4,0.708,0.419,0.526,0.358,569
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,15,1,0.714,0.4,0.513,0.345,539
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,15,2,0.828,0.338,0.48,0.316,392
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,15,3,0.699,0.332,0.45,0.29,457
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,15,4,0.704,0.422,0.528,0.358,576
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,20,1,0.715,0.403,0.515,0.347,543
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,20,2,0.829,0.342,0.484,0.319,395
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,20,3,0.704,0.345,0.463,0.301,471
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,20,4,0.706,0.428,0.533,0.363,583
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,25,1,0.715,0.404,0.516,0.348,544
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,25,2,0.823,0.343,0.484,0.319,399
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,25,3,0.701,0.35,0.467,0.305,480
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,25,4,0.703,0.43,0.534,0.364,588
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,30,1,0.715,0.404,0.516,0.348,544
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,30,2,0.819,0.344,0.484,0.319,402
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,30,3,0.698,0.355,0.471,0.308,489
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,30,4,0.701,0.431,0.534,0.364,591
"10_9","SapBERT-stripped","SapBERT","stripped",0.99,3,1,0.725,0.387,0.505,0.338,513
"10_9","SapBERT-stripped","SapBERT","stripped",0.99,3,2,0.869,0.304,0.45,0.291,335
"10_9","SapBERT-stripped","SapBERT","stripped",0.99,3,3,0.698,0.247,0.365,0.223,339
"10_9","SapBERT-stripped","SapBERT","stripped",0.99,3,4,0.726,0.39,0.507,0.34,515
"10_9","SapBERT-stripped","SapBERT","stripped",0.99,5,1,0.724,0.398,0.514,0.346,528
"10_9","SapBERT-stripped","SapBERT","stripped",0.99,5,2,0.867,0.305,0.451,0.292,337
"10_9","SapBERT-stripped","SapBERT","stripped",0.99,5,3,0.699,0.275,0.395,0.246,379
"10_9","SapBERT-stripped","SapBERT","stripped",0.99,5,4,0.724,0.401,0.516,0.348,532
