"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,1,0.521,0.326,0.401,0.251,601
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,2,0.488,0.295,0.368,0.225,582
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,3,0.592,0.268,0.369,0.226,434
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,4,0.488,0.358,0.413,0.26,705
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,1,0.524,0.335,0.409,0.257,616
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,2,0.443,0.314,0.368,0.225,683
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,3,0.517,0.299,0.379,0.234,555
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,4,0.451,0.382,0.414,0.261,815
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,1,0.523,0.336,0.409,0.257,620
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,2,0.379,0.34,0.358,0.218,868
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,3,0.434,0.345,0.384,0.238,766
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,4,0.393,0.409,0.401,0.251,1003
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,1,0.524,0.337,0.41,0.258,621
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,2,0.351,0.364,0.357,0.217,1001
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,3,0.395,0.375,0.385,0.238,912
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,4,0.367,0.432,0.397,0.248,1136
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,1,0.526,0.34,0.413,0.26,625
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,2,0.331,0.376,0.352,0.213,1095
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,3,0.372,0.392,0.382,0.236,1012
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,4,0.348,0.445,0.391,0.243,1231
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,1,0.526,0.342,0.414,0.261,626
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,2,0.315,0.382,0.345,0.209,1171
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,3,0.354,0.402,0.376,0.232,1094
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,4,0.333,0.453,0.384,0.238,1308
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,30,1,0.527,0.343,0.416,0.262,627
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,30,2,0.3,0.391,0.34,0.204,1256
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,30,3,0.334,0.412,0.369,0.226,1183
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,30,4,0.319,0.461,0.377,0.232,1393
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,3,1,0.561,0.315,0.403,0.253,539
