"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,25,4,0.703,0.43,0.534,0.364,588
"10_9","mpnet-base","mpnet","base",0.95,25,4,0.689,0.434,0.533,0.363,610
"10_9","SapBERT-base","SapBERT","base",0.95,30,4,0.692,0.429,0.53,0.36,596
"10_9","SapBERT-base-regen","SapBERT","base",0.95,30,4,0.692,0.429,0.53,0.36,596
"10_9","mpnet-stripped","mpnet","stripped",0.95,25,4,0.684,0.423,0.523,0.354,596
"10_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.99,25,4,0.585,0.363,0.448,0.289,599
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,25,4,0.556,0.351,0.43,0.274,608
"10_9","ClinicalBERT-original","ClinicalBERT","base",0.995,30,4,0.578,0.338,0.427,0.271,561
"8_9","SapBERT-base","SapBERT","base",0.99,3,2,0.861,0.785,0.821,0.697,352
"8_9","SapBERT-base-regen","SapBERT","base",0.99,3,2,0.861,0.785,0.821,0.697,352
"8_9","SapBERT-stripped","SapBERT","stripped",0.95,3,2,0.823,0.789,0.806,0.674,367
"8_9","mpnet-base","mpnet","base",0.95,3,2,0.801,0.74,0.769,0.625,355
"8_9","mpnet-stripped","mpnet","stripped",0.95,3,2,0.793,0.74,0.766,0.62,358
"8_9","ClinicalBERT-stripped","ClinicalBERT","stripped",0.999,10,3,0.752,0.695,0.722,0.565,306
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.999,5,3,0.759,0.677,0.716,0.557,295
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,5,3,0.759,0.677,0.716,0.557,295
