"track","model","family","best_f1","best_accuracy","best_threshold","best_top_n","best_flag","f1_min","f1_max","f1_median","shared_point_f1","shared_point","rank_by_best","rank_at_shared","rank_changed"
"10_9","SapBERT-stripped","SapBERT",0.534,0.364,0.95,25,4,0.361,0.534,0.4945,0.52,"thr=0.995, top_n=30",1,1,FALSE
"10_9","mpnet-base","mpnet",0.533,0.363,0.95,25,4,0.373,0.533,0.493,0.518,"thr=0.995, top_n=30",2,2,FALSE
"10_9","SapBERT-base","SapBERT",0.53,0.36,0.95,30,4,0.367,0.53,0.486,0.508,"thr=0.995, top_n=30",3,4,TRUE
"10_9","SapBERT-base-regen","SapBERT",0.53,0.36,0.95,30,4,0.367,0.53,0.486,0.508,"thr=0.995, top_n=30",3,4,TRUE
"10_9","mpnet-stripped","mpnet",0.523,0.354,0.95,25,4,0.373,0.523,0.4875,0.514,"thr=0.995, top_n=30",5,3,TRUE
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT",0.482,0.318,0.99,25,4,0.354,0.482,0.452,0.477,"thr=0.995, top_n=30",6,6,FALSE
"10_9","ClinicalBERT-base-nocode","ClinicalBERT",0.465,0.302,0.99,30,4,0.329,0.465,0.435,0.464,"thr=0.995, top_n=30",7,7,FALSE
"10_9","ClinicalBERT-stripped","ClinicalBERT",0.448,0.289,0.99,25,4,0.255,0.448,0.417,0.437,"thr=0.995, top_n=30",8,8,FALSE
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT",0.439,0.281,0.99,25,4,0.247,0.439,0.411,0.429,"thr=0.995, top_n=30",9,9,FALSE
"10_9","ClinicalBERT-stopwords","ClinicalBERT",0.436,0.279,0.99,25,4,0.245,0.436,0.4105,0.428,"thr=0.995, top_n=30",10,10,FALSE
"10_9","ClinicalBERT-base","ClinicalBERT",0.43,0.274,0.99,25,4,0.222,0.43,0.4025,0.427,"thr=0.995, top_n=30",11,11,FALSE
"10_9","ClinicalBERT-original","ClinicalBERT",0.427,0.271,0.995,30,4,0.226,0.427,0.4035,0.427,"thr=0.995, top_n=30",12,11,TRUE
"8_9","SapBERT-base","SapBERT",0.821,0.697,0.99,3,2,0.738,0.821,0.775,0.82,"thr=0.990, top_n=5",1,1,FALSE
"8_9","SapBERT-base-regen","SapBERT",0.821,0.697,0.99,3,2,0.738,0.821,0.775,0.82,"thr=0.990, top_n=5",1,1,FALSE
"8_9","SapBERT-stripped","SapBERT",0.806,0.674,0.95,3,2,0.735,0.806,0.765,0.792,"thr=0.990, top_n=5",3,3,FALSE
"8_9","mpnet-base","mpnet",0.769,0.625,0.95,3,2,0.728,0.769,0.741,0.758,"thr=0.990, top_n=5",4,5,TRUE
"8_9","mpnet-stripped","mpnet",0.766,0.62,0.95,3,2,0.729,0.766,0.741,0.759,"thr=0.990, top_n=5",5,4,TRUE
"8_9","ClinicalBERT-stripped","ClinicalBERT",0.722,0.565,0.999,10,3,0.482,0.722,0.682,0.713,"thr=0.990, top_n=5",6,7,TRUE
"8_9","ClinicalBERT-stopwords","ClinicalBERT",0.719,0.561,0.999,10,3,0.488,0.719,0.68,0.713,"thr=0.990, top_n=5",7,7,FALSE
"8_9","ClinicalBERT-base-nocode","ClinicalBERT",0.718,0.56,0.999,10,3,0.439,0.718,0.675,0.704,"thr=0.990, top_n=5",8,12,TRUE
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT",0.717,0.559,0.999,10,3,0.487,0.717,0.681,0.715,"thr=0.990, top_n=5",9,6,TRUE
"8_9","ClinicalBERT-base","ClinicalBERT",0.716,0.557,0.999,5,3,0.47,0.716,0.682,0.711,"thr=0.990, top_n=5",10,9,TRUE
"8_9","ClinicalBERT-original","ClinicalBERT",0.716,0.557,0.999,5,3,0.47,0.716,0.682,0.711,"thr=0.990, top_n=5",10,9,TRUE
"8_9","ClinicalBERT-stopwords-nocode","ClinicalBERT",0.713,0.554,0.999,5,3,0.468,0.713,0.6685,0.707,"thr=0.990, top_n=5",12,11,TRUE
