"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,3,1,0.609,0.365,0.456,0.296,562
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,3,2,0.643,0.323,0.43,0.274,471
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,3,3,0.648,0.265,0.376,0.231,383
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,3,4,0.593,0.384,0.466,0.304,607
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,5,1,0.61,0.376,0.465,0.303,577
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,5,2,0.6,0.338,0.432,0.276,528
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,5,3,0.599,0.298,0.398,0.248,466
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,5,4,0.564,0.406,0.472,0.309,674
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,10,1,0.608,0.377,0.465,0.303,581
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,10,2,0.539,0.365,0.435,0.278,634
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,10,3,0.541,0.347,0.423,0.268,601
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,10,4,0.517,0.432,0.471,0.308,783
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,15,1,0.608,0.377,0.465,0.303,581
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,15,2,0.493,0.379,0.429,0.273,720
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,15,3,0.499,0.374,0.428,0.272,701
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,15,4,0.481,0.446,0.463,0.301,869
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,20,1,0.609,0.38,0.468,0.305,585
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,20,2,0.475,0.387,0.427,0.271,765
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,20,3,0.482,0.39,0.431,0.275,757
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,20,4,0.467,0.458,0.462,0.301,918
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,25,1,0.609,0.381,0.469,0.306,586
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,25,2,0.454,0.398,0.424,0.269,821
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,25,3,0.463,0.402,0.43,0.274,815
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,25,4,0.451,0.469,0.46,0.298,974
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,30,1,0.609,0.381,0.469,0.306,586
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,30,2,0.433,0.403,0.417,0.264,873
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,30,3,0.443,0.411,0.426,0.271,870
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.95,30,4,0.433,0.474,0.453,0.292,1026
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,3,1,0.628,0.356,0.454,0.294,532
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,3,2,0.71,0.253,0.373,0.229,334
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,3,3,0.682,0.248,0.364,0.222,340
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,3,4,0.63,0.36,0.458,0.297,535
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,5,1,0.629,0.367,0.464,0.302,547
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,5,2,0.706,0.256,0.376,0.231,340
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,5,3,0.678,0.272,0.388,0.241,376
"10_9","ClinicalBERT-stopwords-nocode","ClinicalBERT","stopwords",0.99,5,4,0.629,0.372,0.468,0.305,555
