"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,3,1,0.743,0.413,0.531,0.361,521
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,3,2,0.915,0.344,0.5,0.333,352
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,3,3,0.687,0.253,0.37,0.227,345
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,3,4,0.744,0.415,0.533,0.363,523
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,5,1,0.74,0.422,0.537,0.367,534
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,5,2,0.916,0.348,0.504,0.337,356
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,5,3,0.697,0.283,0.403,0.252,380
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,5,4,0.742,0.427,0.542,0.372,539
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,10,1,0.736,0.422,0.536,0.366,537
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,10,2,0.907,0.355,0.51,0.343,367
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,10,3,0.705,0.319,0.439,0.282,424
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,10,4,0.736,0.434,0.546,0.376,553
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,15,1,0.736,0.423,0.537,0.367,538
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,15,2,0.9,0.356,0.51,0.343,371
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,15,3,0.711,0.336,0.456,0.296,443
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,15,4,0.733,0.436,0.547,0.377,558
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,20,1,0.736,0.426,0.54,0.369,542
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,20,2,0.901,0.359,0.513,0.345,373
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,20,3,0.715,0.348,0.468,0.306,456
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,20,4,0.734,0.441,0.551,0.38,563
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,25,1,0.737,0.427,0.541,0.37,543
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,25,2,0.898,0.359,0.513,0.345,374
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,25,3,0.715,0.353,0.473,0.31,463
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,25,4,0.733,0.442,0.551,0.381,565
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,30,1,0.737,0.427,0.541,0.37,543
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,30,2,0.896,0.36,0.514,0.345,376
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,30,3,0.718,0.361,0.48,0.316,471
"10_9","SapBERT-base-nocode","SapBERT","base",0.95,30,4,0.732,0.443,0.552,0.381,567
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,3,1,0.742,0.411,0.529,0.359,519
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,3,2,0.912,0.33,0.485,0.32,339
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,3,3,0.685,0.251,0.367,0.225,343
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,3,4,0.742,0.411,0.529,0.359,519
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,5,1,0.739,0.419,0.535,0.365,532
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,5,2,0.912,0.331,0.486,0.321,340
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,5,3,0.693,0.276,0.395,0.246,374
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,5,4,0.739,0.42,0.536,0.366,533
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,10,1,0.735,0.419,0.534,0.364,535
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,10,2,0.912,0.331,0.486,0.321,340
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,10,3,0.703,0.305,0.425,0.27,407
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,10,4,0.735,0.42,0.535,0.365,536
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,15,1,0.735,0.42,0.535,0.365,536
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,15,2,0.912,0.331,0.486,0.321,340
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,15,3,0.713,0.321,0.443,0.284,422
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,15,4,0.736,0.422,0.536,0.366,537
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,20,1,0.735,0.424,0.538,0.368,540
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,20,2,0.912,0.331,0.486,0.321,340
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,20,3,0.717,0.332,0.454,0.293,434
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,20,4,0.736,0.425,0.539,0.369,541
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,25,1,0.736,0.425,0.539,0.369,541
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,25,2,0.912,0.331,0.486,0.321,340
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,25,3,0.718,0.337,0.459,0.298,440
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,25,4,0.736,0.426,0.54,0.369,542
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,30,1,0.736,0.425,0.539,0.369,541
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,30,2,0.909,0.331,0.485,0.32,341
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,30,3,0.72,0.344,0.466,0.303,447
"10_9","SapBERT-base-nocode","SapBERT","base",0.99,30,4,0.735,0.426,0.539,0.369,543
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,3,1,0.741,0.41,0.528,0.359,518
