"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,3,1,0.701,0.391,0.502,0.335,522
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,3,2,0.835,0.324,0.467,0.305,364
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,3,3,0.684,0.254,0.37,0.227,348
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,3,4,0.704,0.4,0.51,0.342,533
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,5,1,0.7,0.4,0.509,0.342,536
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,5,2,0.824,0.329,0.47,0.307,374
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,5,3,0.675,0.284,0.4,0.25,394
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,5,4,0.695,0.412,0.517,0.349,555
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,10,1,0.696,0.4,0.508,0.341,539
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,10,2,0.818,0.336,0.476,0.313,385
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,10,3,0.681,0.317,0.433,0.276,436
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,10,4,0.691,0.419,0.522,0.353,569
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,15,1,0.696,0.4,0.508,0.341,539
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,15,2,0.809,0.338,0.477,0.313,392
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,15,3,0.681,0.332,0.446,0.287,457
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,15,4,0.686,0.422,0.523,0.353,576
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,20,1,0.696,0.403,0.51,0.343,543
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,20,2,0.81,0.342,0.481,0.316,395
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,20,3,0.686,0.345,0.459,0.298,471
"10_9","SapBERT-stripped","SapBERT","stripped",0.95,20,4,0.688,0.428,0.528,0.358,583
