"track","model","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy"
"10_9","ClinicalBERT",0.95,3,1,0.522,0.326,0.401,0.251
"10_9","ClinicalBERT",0.95,3,2,0.489,0.295,0.368,0.225
"10_9","ClinicalBERT",0.95,3,3,0.593,0.268,0.369,0.226
"10_9","ClinicalBERT",0.95,3,4,0.49,0.358,0.414,0.26
"10_9","ClinicalBERT",0.95,5,1,0.525,0.335,0.409,0.257
"10_9","ClinicalBERT",0.95,5,2,0.444,0.313,0.367,0.225
"10_9","ClinicalBERT",0.95,5,3,0.519,0.299,0.379,0.234
"10_9","ClinicalBERT",0.95,5,4,0.454,0.382,0.415,0.262
"10_9","ClinicalBERT",0.95,10,1,0.524,0.336,0.409,0.258
"10_9","ClinicalBERT",0.95,10,2,0.376,0.335,0.354,0.215
"10_9","ClinicalBERT",0.95,10,3,0.432,0.342,0.382,0.236
"10_9","ClinicalBERT",0.95,10,4,0.392,0.404,0.398,0.249
"10_9","ClinicalBERT",0.95,15,1,0.525,0.337,0.41,0.258
"10_9","ClinicalBERT",0.95,15,2,0.348,0.359,0.353,0.215
"10_9","ClinicalBERT",0.95,15,3,0.394,0.371,0.382,0.236
"10_9","ClinicalBERT",0.95,15,4,0.366,0.428,0.395,0.246
"10_9","ClinicalBERT",0.99,3,1,0.556,0.313,0.401,0.25
"10_9","ClinicalBERT",0.99,3,2,0.558,0.184,0.277,0.16
"10_9","ClinicalBERT",0.99,3,3,0.69,0.242,0.358,0.218
"10_9","ClinicalBERT",0.99,3,4,0.56,0.319,0.406,0.255
"10_9","ClinicalBERT",0.99,5,1,0.558,0.322,0.408,0.257
"10_9","ClinicalBERT",0.99,5,2,0.557,0.187,0.28,0.163
"10_9","ClinicalBERT",0.99,5,3,0.681,0.261,0.377,0.233
"10_9","ClinicalBERT",0.99,5,4,0.561,0.332,0.417,0.264
"10_9","ClinicalBERT",0.99,10,1,0.557,0.323,0.409,0.257
"10_9","ClinicalBERT",0.99,10,2,0.546,0.19,0.282,0.164
"10_9","ClinicalBERT",0.99,10,3,0.673,0.283,0.398,0.249
"10_9","ClinicalBERT",0.99,10,4,0.554,0.336,0.418,0.264
