"track","tau","n_emitted","codes_covered","code_coverage","precision","recall","f1"
"10_9",0.01,2810,345,1,0.266192170818505,0.916666666666667,0.41257584114727
"10_9",0.02,2155,345,1,0.335962877030162,0.887254901960784,0.487377987209694
"10_9",0.03,1865,345,1,0.380160857908847,0.868872549019608,0.528907124207385
"10_9",0.04,1638,345,1,0.421245421245421,0.845588235294118,0.562347188264059
"10_9",0.05,1499,345,1,0.452968645763843,0.832107843137255,0.586609071274298
"10_9",0.06,1407,344,0.997101449275362,0.476190476190476,0.821078431372549,0.602789023841655
"10_9",0.07,1340,344,0.997101449275362,0.494776119402985,0.8125,0.615027829313543
"10_9",0.08,1270,344,0.997101449275362,0.517322834645669,0.805147058823529,0.629913710450623
"10_9",0.09,1207,344,0.997101449275362,0.539353769676885,0.797794117647059,0.643598615916955
"10_9",0.1,1163,343,0.994202898550725,0.552020636285469,0.786764705882353,0.648812531581607
"10_9",0.11,1126,343,0.994202898550725,0.563055062166963,0.776960784313726,0.652935118434604
"10_9",0.12,1086,343,0.994202898550725,0.577348066298343,0.768382352941177,0.659305993690852
"10_9",0.13,1050,343,0.994202898550725,0.588571428571429,0.757352941176471,0.662379421221865
"10_9",0.14,1018,343,0.994202898550725,0.601178781925344,0.75,0.667393675027263
"10_9",0.15,999,343,0.994202898550725,0.60960960960961,0.746323529411765,0.671074380165289
"10_9",0.16,980,341,0.988405797101449,0.61734693877551,0.741421568627451,0.673719376391982
"10_9",0.17,945,341,0.988405797101449,0.633862433862434,0.73406862745098,0.680295286768881
"10_9",0.18,916,340,0.985507246376812,0.643013100436681,0.721813725490196,0.68013856812933
"10_9",0.19,901,340,0.985507246376812,0.649278579356271,0.716911764705882,0.681421083284799
"10_9",0.2,881,340,0.985507246376812,0.658342792281498,0.71078431372549,0.683559222156747
"10_9",0.21,863,340,0.985507246376812,0.665121668597914,0.70343137254902,0.683740321620012
"10_9",0.22,853,339,0.982608695652174,0.669402110199297,0.699754901960784,0.68424206111444
"10_9",0.23,839,339,0.982608695652174,0.67342073897497,0.692401960784314,0.682779456193353
"10_9",0.24,824,337,0.976811594202899,0.680825242718447,0.6875,0.684146341463415
"10_9",0.25,811,337,0.976811594202899,0.688039457459926,0.683823529411765,0.685925015365704
"10_9",0.26,797,337,0.976811594202899,0.696361355081556,0.680147058823529,0.688158710477371
"10_9",0.27,786,337,0.976811594202899,0.703562340966921,0.677696078431373,0.690387016229713
"10_9",0.28,777,337,0.976811594202899,0.71042471042471,0.676470588235294,0.693032015065913
"10_9",0.29,772,337,0.976811594202899,0.711139896373057,0.672794117647059,0.691435768261965
"10_9",0.3,763,337,0.976811594202899,0.716906946264744,0.670343137254902,0.692843571880937
"10_9",0.31,754,336,0.973913043478261,0.721485411140584,0.666666666666667,0.692993630573248
"10_9",0.32,744,336,0.973913043478261,0.725806451612903,0.661764705882353,0.692307692307692
"10_9",0.33,737,336,0.973913043478261,0.73134328358209,0.660539215686274,0.694140373470702
"10_9",0.34,728,336,0.973913043478261,0.739010989010989,0.659313725490196,0.696891191709845
"10_9",0.35,721,335,0.971014492753623,0.744798890429958,0.658088235294118,0.698763825634353
"10_9",0.36,714,335,0.971014492753623,0.747899159663866,0.654411764705882,0.698039215686275
"10_9",0.37,702,335,0.971014492753623,0.756410256410256,0.650735294117647,0.699604743083004
"10_9",0.38,691,333,0.965217391304348,0.761215629522431,0.644607843137255,0.698075646980756
"10_9",0.39,685,333,0.965217391304348,0.764963503649635,0.642156862745098,0.698201199200533
"10_9",0.4,680,333,0.965217391304348,0.769117647058824,0.64093137254902,0.699197860962567
"10_9",0.41,671,333,0.965217391304348,0.77645305514158,0.638480392156863,0.700739744451917
"10_9",0.42,667,333,0.965217391304348,0.781109445277361,0.638480392156863,0.702629804450438
"10_9",0.43,660,333,0.965217391304348,0.786363636363636,0.636029411764706,0.703252032520325
"10_9",0.44,650,332,0.96231884057971,0.790769230769231,0.629901960784314,0.701227830832196
"10_9",0.45,648,332,0.96231884057971,0.79320987654321,0.629901960784314,0.702185792349727
"10_9",0.46,645,332,0.96231884057971,0.792248062015504,0.626225490196078,0.699520876112252
"10_9",0.47,639,332,0.96231884057971,0.7981220657277,0.625,0.701030927835051
"10_9",0.48,632,332,0.96231884057971,0.802215189873418,0.621323529411765,0.700276243093923
"10_9",0.49,625,332,0.96231884057971,0.8064,0.617647058823529,0.699514226231783
"10_9",0.5,615,332,0.96231884057971,0.813008130081301,0.612745098039216,0.698812019566737
"10_9",0.51,608,332,0.96231884057971,0.815789473684211,0.607843137254902,0.696629213483146
"10_9",0.52,600,332,0.96231884057971,0.821666666666667,0.604166666666667,0.696327683615819
"10_9",0.53,595,332,0.96231884057971,0.823529411764706,0.600490196078431,0.694542877391921
"10_9",0.54,592,332,0.96231884057971,0.826013513513513,0.599264705882353,0.694602272727273
"10_9",0.55,585,332,0.96231884057971,0.829059829059829,0.594362745098039,0.692362598144183
"10_9",0.56,579,332,0.96231884057971,0.830742659758204,0.589460784313726,0.689605734767025
"10_9",0.57,574,331,0.959420289855072,0.831010452961672,0.584558823529412,0.686330935251798
"10_9",0.58,573,331,0.959420289855072,0.832460732984293,0.584558823529412,0.68682505399568
"10_9",0.59,569,329,0.953623188405797,0.838312829525483,0.584558823529412,0.688808664259928
"10_9",0.6,565,329,0.953623188405797,0.84070796460177,0.582107843137255,0.687907313540912
"10_9",0.61,555,329,0.953623188405797,0.843243243243243,0.573529411764706,0.682713347921225
"10_9",0.62,551,328,0.950724637681159,0.849364791288566,0.573529411764706,0.68471104608632
"10_9",0.63,546,328,0.950724637681159,0.853479853479853,0.571078431372549,0.684287812041116
"10_9",0.64,541,328,0.950724637681159,0.855822550831793,0.567401960784314,0.682387619749447
"10_9",0.65,537,328,0.950724637681159,0.856610800744879,0.563725490196078,0.679970436067997
"10_9",0.66,526,327,0.947826086956522,0.866920152091255,0.558823529411765,0.679582712369598
"10_9",0.67,519,326,0.944927536231884,0.86897880539499,0.552696078431373,0.67565543071161
"10_9",0.68,517,326,0.944927536231884,0.872340425531915,0.552696078431373,0.676669167291823
"10_9",0.69,513,326,0.944927536231884,0.875243664717349,0.550245098039216,0.675696012039127
