"model","mode","threshold","top_n","flag","scenario","precision","recall","f1","accuracy","codes_emitted","tp","fp","fn","sim_pairs_kept","icd9_with_any_sim"
"ClinicalBERT","absolute",0.5,3,1,"top cosine or top co-occurrence",0.585,0.354,0.441,0.283,568,332,236,605,721452,354
"ClinicalBERT","absolute",0.5,3,2,"top cosine or in both lists",0.486,0.396,0.436,0.279,763,371,392,566,721452,354
"ClinicalBERT","absolute",0.5,3,3,"top co-occurrence or in both lists",0.502,0.284,0.363,0.221,530,266,264,671,721452,354
"ClinicalBERT","absolute",0.5,3,4,"any of the three",0.486,0.396,0.436,0.279,763,371,392,566,721452,354
"ClinicalBERT","absolute",0.5,5,1,"top cosine or top co-occurrence",0.586,0.364,0.449,0.289,582,341,241,596,721452,354
"ClinicalBERT","absolute",0.5,5,2,"top cosine or in both lists",0.399,0.434,0.416,0.263,1019,407,612,530,721452,354
"ClinicalBERT","absolute",0.5,5,3,"top co-occurrence or in both lists",0.393,0.335,0.362,0.221,799,314,485,623,721452,354
"ClinicalBERT","absolute",0.5,5,4,"any of the three",0.399,0.434,0.416,0.263,1019,407,612,530,721452,354
"ClinicalBERT","absolute",0.5,10,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,721452,354
"ClinicalBERT","absolute",0.5,10,2,"top cosine or in both lists",0.307,0.489,0.377,0.232,1492,458,1034,479,721452,354
"ClinicalBERT","absolute",0.5,10,3,"top co-occurrence or in both lists",0.297,0.411,0.345,0.208,1296,385,911,552,721452,354
"ClinicalBERT","absolute",0.5,10,4,"any of the three",0.307,0.489,0.377,0.232,1492,458,1034,479,721452,354
"ClinicalBERT","absolute",0.5,15,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,721452,354
"ClinicalBERT","absolute",0.5,15,2,"top cosine or in both lists",0.265,0.524,0.352,0.213,1856,491,1365,446,721452,354
"ClinicalBERT","absolute",0.5,15,3,"top co-occurrence or in both lists",0.256,0.458,0.328,0.197,1675,429,1246,508,721452,354
"ClinicalBERT","absolute",0.5,15,4,"any of the three",0.265,0.524,0.352,0.213,1856,491,1365,446,721452,354
"ClinicalBERT","absolute",0.5,20,1,"top cosine or top co-occurrence",0.584,0.367,0.451,0.291,589,344,245,593,721452,354
"ClinicalBERT","absolute",0.5,20,2,"top cosine or in both lists",0.239,0.545,0.332,0.2,2134,511,1623,426,721452,354
"ClinicalBERT","absolute",0.5,20,3,"top co-occurrence or in both lists",0.232,0.485,0.314,0.186,1960,454,1506,483,721452,354
"ClinicalBERT","absolute",0.5,20,4,"any of the three",0.239,0.545,0.332,0.2,2134,511,1623,426,721452,354
"ClinicalBERT","absolute",0.5,25,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,721452,354
"ClinicalBERT","absolute",0.5,25,2,"top cosine or in both lists",0.223,0.572,0.321,0.191,2403,536,1867,401,721452,354
"ClinicalBERT","absolute",0.5,25,3,"top co-occurrence or in both lists",0.215,0.513,0.303,0.179,2235,481,1754,456,721452,354
"ClinicalBERT","absolute",0.5,25,4,"any of the three",0.223,0.572,0.321,0.191,2403,536,1867,401,721452,354
"ClinicalBERT","absolute",0.5,30,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,721452,354
"ClinicalBERT","absolute",0.5,30,2,"top cosine or in both lists",0.207,0.589,0.306,0.181,2669,552,2117,385,721452,354
"ClinicalBERT","absolute",0.5,30,3,"top co-occurrence or in both lists",0.199,0.533,0.29,0.169,2506,499,2007,438,721452,354
"ClinicalBERT","absolute",0.5,30,4,"any of the three",0.207,0.589,0.306,0.181,2669,552,2117,385,721452,354
"ClinicalBERT","absolute",0.6,3,1,"top cosine or top co-occurrence",0.585,0.354,0.441,0.283,568,332,236,605,721253,354
"ClinicalBERT","absolute",0.6,3,2,"top cosine or in both lists",0.486,0.396,0.436,0.279,763,371,392,566,721253,354
"ClinicalBERT","absolute",0.6,3,3,"top co-occurrence or in both lists",0.502,0.284,0.363,0.221,530,266,264,671,721253,354
"ClinicalBERT","absolute",0.6,3,4,"any of the three",0.486,0.396,0.436,0.279,763,371,392,566,721253,354
"ClinicalBERT","absolute",0.6,5,1,"top cosine or top co-occurrence",0.586,0.364,0.449,0.289,582,341,241,596,721253,354
"ClinicalBERT","absolute",0.6,5,2,"top cosine or in both lists",0.399,0.434,0.416,0.263,1019,407,612,530,721253,354
"ClinicalBERT","absolute",0.6,5,3,"top co-occurrence or in both lists",0.393,0.335,0.362,0.221,799,314,485,623,721253,354
"ClinicalBERT","absolute",0.6,5,4,"any of the three",0.399,0.434,0.416,0.263,1019,407,612,530,721253,354
"ClinicalBERT","absolute",0.6,10,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,721253,354
"ClinicalBERT","absolute",0.6,10,2,"top cosine or in both lists",0.307,0.489,0.377,0.232,1492,458,1034,479,721253,354
"ClinicalBERT","absolute",0.6,10,3,"top co-occurrence or in both lists",0.297,0.411,0.345,0.208,1296,385,911,552,721253,354
"ClinicalBERT","absolute",0.6,10,4,"any of the three",0.307,0.489,0.377,0.232,1492,458,1034,479,721253,354
"ClinicalBERT","absolute",0.6,15,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,721253,354
"ClinicalBERT","absolute",0.6,15,2,"top cosine or in both lists",0.265,0.524,0.352,0.213,1856,491,1365,446,721253,354
"ClinicalBERT","absolute",0.6,15,3,"top co-occurrence or in both lists",0.256,0.458,0.328,0.197,1675,429,1246,508,721253,354
"ClinicalBERT","absolute",0.6,15,4,"any of the three",0.265,0.524,0.352,0.213,1856,491,1365,446,721253,354
"ClinicalBERT","absolute",0.6,20,1,"top cosine or top co-occurrence",0.584,0.367,0.451,0.291,589,344,245,593,721253,354
"ClinicalBERT","absolute",0.6,20,2,"top cosine or in both lists",0.239,0.545,0.332,0.2,2134,511,1623,426,721253,354
"ClinicalBERT","absolute",0.6,20,3,"top co-occurrence or in both lists",0.232,0.485,0.314,0.186,1960,454,1506,483,721253,354
"ClinicalBERT","absolute",0.6,20,4,"any of the three",0.239,0.545,0.332,0.2,2134,511,1623,426,721253,354
"ClinicalBERT","absolute",0.6,25,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,721253,354
"ClinicalBERT","absolute",0.6,25,2,"top cosine or in both lists",0.223,0.572,0.321,0.191,2403,536,1867,401,721253,354
"ClinicalBERT","absolute",0.6,25,3,"top co-occurrence or in both lists",0.215,0.513,0.303,0.179,2235,481,1754,456,721253,354
"ClinicalBERT","absolute",0.6,25,4,"any of the three",0.223,0.572,0.321,0.191,2403,536,1867,401,721253,354
"ClinicalBERT","absolute",0.6,30,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,721253,354
