"target","icd9","sim"
"C04","141",0.653334379196167
"C01","141",0.643443644046783
"C02","141",0.541909515857697
"C05","141",0.523473083972931
"C71","141",0.523394823074341
"C61","141",0.515222609043121
"C13","141",0.513169050216675
"C32","141",0.51053649187088
"C10","141",0.501960337162018
"C64","141",0.49381411075592
"C16","141",0.485129833221435
"C03","141",0.483641088008881
"C11","141",0.483267188072205
"C41","141",0.473308622837067
"C09","141",0.472535014152527
"C21","141",0.468774437904358
"C14","141",0.467196971178055
"C54","141",0.464936137199402
"K14","141",0.46340274810791
"C51","141",0.460451185703278
"Q38","141",0.459698349237442
"C34","141",0.456843435764313
"C72","141",0.449686318635941
"C06","141",0.444406092166901
"C73","141",0.439028173685074
"C08","142",0.643329203128815
"C72","142",0.576120913028717
"D11","142",0.562025487422943
"C31","142",0.54558527469635
"C04","142",0.535261631011963
"C25","142",0.523286521434784
"C16","142",0.515026807785034
"C32","142",0.512420475482941
"C13","142",0.511997520923615
"C47","142",0.508683204650879
"C07","142",0.50108677148819
"C61","142",0.498086035251617
"C05","142",0.497846066951752
"S42","142",0.494162440299988
"C30","142",0.493442445993424
"C53","142",0.492381572723389
"C22","142",0.490138530731201
"C63","142",0.484946489334106
"C41","142",0.483103513717651
"C52","142",0.481610149145126
"C75","142",0.480810284614563
"C21","142",0.477182030677795
"C97","142",0.474997460842133
"S62","142",0.470441818237305
"C23","142",0.468697667121887
"C06","145",0.800359964370728
"C14","145",0.634725213050842
"C26","145",0.622010409832001
"C63","145",0.609192430973053
"C08","145",0.600927472114563
"C75","145",0.594546556472778
"C02","145",0.580238401889801
"Q38","145",0.578508198261261
"C57","145",0.557338953018188
"C24","145",0.54787814617157
"C04","145",0.547640323638916
"C85","145",0.541286051273346
"D37","145",0.535493433475494
"Q45","145",0.52386474609375
"Q75","145",0.523452639579773
"C41","145",0.522767722606659
"C79","145",0.521169483661652
"Q55","145",0.518073379993439
"C76","145",0.516271114349365
"K13","145",0.514494717121124
"N50","145",0.509426355361938
"O71","145",0.507767558097839
"C44","145",0.503303110599518
"K10","145",0.50330126285553
"C05","145",0.500552535057068
"C10","146",0.762296855449677
"C13","146",0.603888988494873
"C11","146",0.572497427463531
"C61","146",0.567892670631409
"C06","146",0.565704643726349
"C05","146",0.56295120716095
"C65","146",0.551603138446808
"C53","146",0.537087142467499
"C04","146",0.534328103065491
"C16","146",0.519397854804993
"C64","146",0.512894809246063
"C56","146",0.499533414840698
"C33","146",0.499481767416
"C66","146",0.493312776088715
"C54","146",0.480041265487671
"C63","146",0.473570585250854
"C32","146",0.473535299301148
"C51","146",0.472912579774857
"C52","146",0.472483277320862
"C48","146",0.471115946769714
"C26","146",0.470104068517685
"C20","146",0.462009429931641
"C47","146",0.461370527744293
"C30","146",0.460230946540833
"N86","146",0.454938739538193
