"list","n_words","system","n_codes","labels_emptied","new_collisions","unique_before","unique_after","clinical_words_removed"
"filler_words.json",11,"ICD-9-CM",354,0,0,354,354,2
"filler_words.json",11,"ICD-10-CA",2038,0,0,2038,2038,2
"filler_words.json",11,"ICDA-8",858,0,0,858,858,2
"NLTK english",120,"ICD-9-CM",354,0,0,354,354,17
"NLTK english",120,"ICD-10-CA",2038,0,0,2038,2038,17
"NLTK english",120,"ICDA-8",858,0,0,858,858,17
"snowball",175,"ICD-9-CM",354,0,0,354,354,17
"snowball",175,"ICD-10-CA",2038,0,0,2038,2038,17
"snowball",175,"ICDA-8",858,0,0,858,858,17
"smart",571,"ICD-9-CM",354,0,0,354,354,18
"smart",571,"ICD-10-CA",2038,0,12,2038,2032,18
"smart",571,"ICDA-8",858,0,5,858,855,18
"stopwords-iso",1298,"ICD-9-CM",354,0,0,354,354,19
"stopwords-iso",1298,"ICD-10-CA",2038,0,14,2038,2031,19
"stopwords-iso",1298,"ICDA-8",858,0,6,858,854,19
