"track","variant","objective","n_features","precision","recall","f1","accuracy"
"8_9","full","binary:logistic",52,0.880645161290323,0.829787234042553,0.854460093896714,0.745901639344262
"8_9","no_mutual","binary:logistic",36,0.870550161812298,0.817629179331307,0.843260188087774,0.7289972899729
"8_9","no_lexical","binary:logistic",46,0.883116883116883,0.826747720364742,0.854003139717425,0.745205479452055
"8_9","no_cooccurrence","binary:logistic",47,0.842443729903537,0.796352583586626,0.81875,0.693121693121693
"8_9","no_chapter","binary:logistic",49,0.87741935483871,0.826747720364742,0.851330203442879,0.741144414168937
"8_9","no_ensemble","binary:logistic",37,0.861736334405145,0.814589665653495,0.8375,0.720430107526882
"8_9","no_mpnet","binary:logistic",46,0.853968253968254,0.817629179331307,0.835403726708075,0.717333333333333
"8_9","no_clinicalbert","binary:logistic",46,0.886363636363636,0.829787234042553,0.857142857142857,0.75
"8_9","rank_pairwise","rank:pairwise",52,0.860759493670886,0.826747720364742,0.843410852713178,0.729222520107239
"8_9","rank_ndcg","rank:ndcg",52,0.889967637540453,0.835866261398176,0.862068965517241,0.757575757575758
