"track","arm","estimate","sd","ci_low","ci_high"
"10_9","ClinicalBERT, code and label",0.3478,0.0256,0.2986,0.4
"10_9","ClinicalBERT, label only",0.5855,0.0261,0.5333,0.6377
"10_9","SapBERT, code and label",0.7971,0.0214,0.7565,0.8377
"10_9","SapBERT, label only",0.9014,0.0162,0.8696,0.9333
"10_9","mpnet, code and label",0.8087,0.0213,0.7652,0.8493
"10_9","mpnet, label only",0.8986,0.0163,0.8667,0.9304
"8_9","ClinicalBERT, code and label",0.5828,0.0282,0.5298,0.6391
"8_9","ClinicalBERT, label only",0.5497,0.0287,0.4934,0.606
"8_9","SapBERT, code and label",0.8411,0.021,0.798,0.8808
"8_9","SapBERT, label only",0.8179,0.0222,0.7748,0.8576
"8_9","mpnet, code and label",0.7781,0.0234,0.7351,0.8246
"8_9","mpnet, label only",0.745,0.0248,0.6954,0.7947
