"track","model","metric","estimate","sd","ci_low","ci_high"
"10_9","ClinicalBERT-original","precision",0.5686,0.0185,0.5321,0.6048
"10_9","ClinicalBERT-original","recall",0.3362,0.0155,0.3087,0.3676
"10_9","ClinicalBERT-original","f1",0.4225,0.0148,0.3946,0.452
"10_9","ClinicalBERT-original","accuracy",0.2679,0.0119,0.2458,0.292
"10_9","ClinicalBERT-base","precision",0.5411,0.0178,0.5057,0.575
"10_9","ClinicalBERT-base","recall",0.3511,0.0161,0.3215,0.3844
"10_9","ClinicalBERT-base","f1",0.4259,0.0145,0.3985,0.4552
"10_9","ClinicalBERT-base","accuracy",0.2706,0.0117,0.2488,0.2947
"10_9","ClinicalBERT-base-nocode","precision",0.6225,0.0191,0.5851,0.6611
"10_9","ClinicalBERT-base-nocode","recall",0.3661,0.0166,0.3351,0.4013
"10_9","ClinicalBERT-base-nocode","f1",0.461,0.0161,0.43,0.4945
"10_9","ClinicalBERT-base-nocode","accuracy",0.2996,0.0136,0.2739,0.3284
"10_9","ClinicalBERT-stopwords","precision",0.5605,0.0191,0.5225,0.5979
"10_9","ClinicalBERT-stopwords","recall",0.3511,0.0161,0.3211,0.3842
"10_9","ClinicalBERT-stopwords","f1",0.4318,0.0152,0.4018,0.4626
"10_9","ClinicalBERT-stopwords","accuracy",0.2753,0.0124,0.2514,0.3009
"10_9","ClinicalBERT-stopwords-nocode","precision",0.6237,0.0189,0.5869,0.6603
"10_9","ClinicalBERT-stopwords-nocode","recall",0.3874,0.0165,0.3576,0.422
"10_9","ClinicalBERT-stopwords-nocode","f1",0.4779,0.0154,0.4494,0.5096
"10_9","ClinicalBERT-stopwords-nocode","accuracy",0.314,0.0133,0.2898,0.342
"10_9","ClinicalBERT-stopwords-raw","precision",0.5639,0.0189,0.5269,0.6007
"10_9","ClinicalBERT-stopwords-raw","recall",0.3533,0.0162,0.323,0.3866
"10_9","ClinicalBERT-stopwords-raw","f1",0.4344,0.0153,0.4042,0.4646
"10_9","ClinicalBERT-stopwords-raw","accuracy",0.2775,0.0125,0.2533,0.3026
"10_9","ClinicalBERT-stripped","precision",0.5676,0.0189,0.5301,0.6043
"10_9","ClinicalBERT-stripped","recall",0.3629,0.0164,0.3323,0.3961
"10_9","ClinicalBERT-stripped","f1",0.4427,0.0152,0.4134,0.473
"10_9","ClinicalBERT-stripped","accuracy",0.2843,0.0125,0.2606,0.3097
"10_9","SapBERT-base","precision",0.6751,0.0181,0.6386,0.709
"10_9","SapBERT-base","recall",0.428,0.0174,0.3967,0.4632
"10_9","SapBERT-base","f1",0.5238,0.0152,0.4949,0.5531
"10_9","SapBERT-base","accuracy",0.3549,0.014,0.3288,0.3822
"10_9","SapBERT-stripped","precision",0.6836,0.0185,0.6472,0.719
"10_9","SapBERT-stripped","recall",0.4312,0.017,0.4006,0.4649
"10_9","SapBERT-stripped","f1",0.5288,0.0151,0.5,0.5592
"10_9","SapBERT-stripped","accuracy",0.3594,0.014,0.3333,0.3881
"10_9","mpnet-base","precision",0.665,0.0187,0.6284,0.6999
"10_9","mpnet-base","recall",0.4365,0.017,0.4046,0.4709
"10_9","mpnet-base","f1",0.5271,0.0149,0.4988,0.5562
"10_9","mpnet-base","accuracy",0.3578,0.0137,0.3322,0.3853
"10_9","mpnet-stripped","precision",0.6644,0.0188,0.6279,0.7005
"10_9","mpnet-stripped","recall",0.4226,0.0165,0.3918,0.4579
