"CCS_ID","TP","FP","FN","Precision","Recall","F1","Accuracy","track","model"
1,9,2,3,0.818,0.75,0.783,0.643,"8_9","ClinicalBERT"
2,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
3,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
4,1,3,3,0.25,0.25,0.25,0.143,"8_9","ClinicalBERT"
5,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
6,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
7,0,1,1,0,0,0,0,"8_9","ClinicalBERT"
8,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
9,1,2,1,0.333,0.5,0.4,0.25,"8_9","ClinicalBERT"
10,1,2,3,0.333,0.25,0.286,0.167,"8_9","ClinicalBERT"
11,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
12,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
13,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
14,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
15,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
16,2,1,1,0.667,0.667,0.667,0.5,"8_9","ClinicalBERT"
17,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
18,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
19,0,1,1,0,0,0,0,"8_9","ClinicalBERT"
20,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
21,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
22,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
23,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
24,2,0,1,1,0.667,0.8,0.667,"8_9","ClinicalBERT"
25,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
26,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
27,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
28,3,3,3,0.5,0.5,0.5,0.333,"8_9","ClinicalBERT"
29,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
30,0,0,6,0,0,0,0,"8_9","ClinicalBERT"
31,4,2,3,0.667,0.571,0.615,0.444,"8_9","ClinicalBERT"
32,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
33,6,2,2,0.75,0.75,0.75,0.6,"8_9","ClinicalBERT"
34,2,0,2,1,0.5,0.667,0.5,"8_9","ClinicalBERT"
35,5,1,5,0.833,0.5,0.625,0.455,"8_9","ClinicalBERT"
36,1,1,0,0.5,1,0.667,0.5,"8_9","ClinicalBERT"
37,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
38,5,0,0,1,1,1,1,"8_9","ClinicalBERT"
39,4,0,0,1,1,1,1,"8_9","ClinicalBERT"
40,1,1,1,0.5,0.5,0.5,0.333,"8_9","ClinicalBERT"
41,3,0,1,1,0.75,0.857,0.75,"8_9","ClinicalBERT"
42,3,2,0,0.6,1,0.75,0.6,"8_9","ClinicalBERT"
43,2,0,1,1,0.667,0.8,0.667,"8_9","ClinicalBERT"
44,0,0,1,0,0,0,0,"8_9","ClinicalBERT"
45,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
46,3,0,1,1,0.75,0.857,0.75,"8_9","ClinicalBERT"
47,1,0,1,1,0.5,0.667,0.5,"8_9","ClinicalBERT"
48,0,1,1,0,0,0,0,"8_9","ClinicalBERT"
49,1,2,4,0.333,0.2,0.25,0.143,"8_9","ClinicalBERT"
50,6,1,8,0.857,0.429,0.572,0.4,"8_9","ClinicalBERT"
51,1,0,1,1,0.5,0.667,0.5,"8_9","ClinicalBERT"
52,1,1,1,0.5,0.5,0.5,0.333,"8_9","ClinicalBERT"
53,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
54,2,0,1,1,0.667,0.8,0.667,"8_9","ClinicalBERT"
55,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
56,6,2,5,0.75,0.545,0.631,0.462,"8_9","ClinicalBERT"
57,2,1,0,0.667,1,0.8,0.667,"8_9","ClinicalBERT"
58,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
59,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
60,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
61,1,2,3,0.333,0.25,0.286,0.167,"8_9","ClinicalBERT"
62,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
63,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
64,2,2,2,0.5,0.5,0.5,0.333,"8_9","ClinicalBERT"
65,2,3,3,0.4,0.4,0.4,0.25,"8_9","ClinicalBERT"
66,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
67,2,0,1,1,0.667,0.8,0.667,"8_9","ClinicalBERT"
68,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
69,3,2,2,0.6,0.6,0.6,0.429,"8_9","ClinicalBERT"
70,2,1,0,0.667,1,0.8,0.667,"8_9","ClinicalBERT"
