"Model","Top N","Precision","Recall","F1"
"ClinicalBERT",3,"0.531","0.379","0.442"
"ClinicalBERT",5,"0.469","0.400","0.432"
"ClinicalBERT",10,"0.393","0.425","0.408"
"ClinicalBERT",15,"0.355","0.442","0.394"
"ClinicalBERT",20,"0.334","0.456","0.386"
"ClinicalBERT",25,"0.316","0.467","0.377"
"ClinicalBERT",30,"0.299","0.477","0.368"
"SapBERT",3,"0.724","0.426","0.536"
"SapBERT",5,"0.691","0.444","0.541"
"SapBERT",10,"0.658","0.464","0.544"
"SapBERT",15,"0.632","0.474","0.542"
"SapBERT",20,"0.617","0.483","0.542"
"SapBERT",25,"0.599","0.487","0.537"
"SapBERT",30,"0.586","0.491","0.534"
"mpnet",3,"0.743","0.401","0.521"
"mpnet",5,"0.724","0.414","0.527"
"mpnet",10,"0.692","0.427","0.528"
"mpnet",15,"0.680","0.433","0.529"
"mpnet",20,"0.674","0.443","0.535"
"mpnet",25,"0.666","0.445","0.534"
"mpnet",30,"0.657","0.447","0.532"
