"track","track_label","icd9","group","partners","mean","sd","min","q1","median","q3","max","total","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","175","no reference match",24,31.1666666666667,41.7223396178643,7,8,10.5,22.5,131,748,"malignant neoplasm of male breast","13","breast cancer"
"10_9","ICD-9-CM to ICD-10-CA","209","no reference match",124,37.5403225806452,68.6214310539725,7,11.75,17,31.75,506,4655,"neuroendocrine tumors","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","239","no reference match",585,127.211965811966,406.54184715317,7,14,34,91,4862,74419,"neoplasms of unspecified nature","30","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","249","no reference match",161,45.5527950310559,144.598707662842,7,12,18,38,1783,7334,"secondary diabetes mellitus","32","diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","327","no reference match",349,79.8825214899714,272.190709129009,7,12,23,49,3108,27879,"organic sleep disorders","50","other nervous system conditions"
"10_9","ICD-9-CM to ICD-10-CA","338","no reference match",827,265.802902055623,909.13827096326,7,18,49,181.5,13431,219819,"pain not elsewhere classified","50","other nervous system conditions"
"10_9","ICD-9-CM to ICD-10-CA","339","no reference match",58,16.0172413793103,9.59073269672407,7,9.25,15,17.75,54,929,"other headache syndromes","52","headache including migraine"
"10_9","ICD-9-CM to ICD-10-CA","445","no reference match",2,11.5,6.36396103067893,7,9.25,11.5,13.75,16,23,"atheroembolism","78","aortic and peripheral arterial embolism or thrombosis"
"10_9","ICD-9-CM to ICD-10-CA","515","no reference match",306,88.2352941176471,346.895406633878,7,13,24,53.75,5194,27000,"postinflammatory pulmonary fibrosis","87","other lower respiratory disease"
"10_9","ICD-9-CM to ICD-10-CA","140","has a reference match",13,15.0769230769231,10.5313938493561,7,8,11,16,43,196,"malignant neoplasm of lip","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","141","has a reference match",116,40.7155172413793,90.6665947816248,7,10,17.5,33.25,858,4723,"malignant neoplasm of tongue","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","142","has a reference match",43,37.046511627907,45.3551873908136,7,11,19,34.5,180,1593,"malignant neoplasm of major salivary glands","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","143","has a reference match",8,12.625,5.47559520574182,8,9,11.5,13.25,25,101,"malignant neoplasm of gum","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","144","has a reference match",19,23.4736842105263,17.1346576046348,7,11,16,33.5,62,446,"malignant neoplasm of floor of mouth","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","145","has a reference match",96,30.6458333333333,39.5325260264897,7,10,18,29.25,225,2942,"malignant neoplasm of other and unspecified parts of mouth","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","146","has a reference match",91,34.2967032967033,43.9571747412548,7,11,17,35.5,230,3121,"malignant neoplasm of oropharynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","147","has a reference match",58,23.2758620689655,34.5079665876697,7,8,12.5,23,230,1350,"malignant neoplasm of nasopharynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","148","has a reference match",33,23.1818181818182,22.4644921841316,7,10,15,28,110,765,"malignant neoplasm of hypopharynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","149","has a reference match",40,19.675,16.9862500955241,7,9,11,24.25,90,787,"malignant neoplasm of other and illdefined sites within the lip oral cavity and pharynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","150","has a reference match",272,128.988970588235,443.828808154691,7,13,25,71.75,5855,35085,"malignant neoplasm of esophagus","2","cancer of esophagus"
"10_9","ICD-9-CM to ICD-10-CA","151","has a reference match",270,120.474074074074,419.710093424466,7,12,30.5,92.5,5651,32528,"malignant neoplasm of stomach","3","cancer of stomach"
"10_9","ICD-9-CM to ICD-10-CA","152","has a reference match",129,38.4031007751938,66.2959179762229,7,11,19,34,532,4954,"malignant neoplasm of small intestine including duodenum","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","153","has a reference match",490,345.35306122449,1501.33151666966,7,18,44,156.5,23624,169223,"malignant neoplasm of colon","5","colon cancer"
"10_9","ICD-9-CM to ICD-10-CA","154","has a reference match",414,193.608695652174,679.665115887752,7,14,29,97.75,8601,80154,"malignant neoplasm of rectum rectosigmoid junction and anus","6","cancer of rectum and anus"
"10_9","ICD-9-CM to ICD-10-CA","155","has a reference match",275,118.010909090909,381.426284922084,7,12,30,96.5,4579,32453,"malignant neoplasm of liver and intrahepatic bile ducts","7","cancer of liver and intrahepatic bile duct"
"10_9","ICD-9-CM to ICD-10-CA","156","has a reference match",156,75.0384615384615,164.444318828706,7,13,23.5,61,1004,11706,"malignant neoplasm of gallbladder and extrahepatic bile ducts","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","157","has a reference match",315,209.812698412698,943.950544473324,7,14,33,117,13417,66091,"malignant neoplasm of pancreas","8","pancreas cancer"
"10_9","ICD-9-CM to ICD-10-CA","158","has a reference match",82,40.7560975609756,50.1281225068767,7,11,24,44.75,291,3342,"malignant neoplasm of retroperitoneum and peritoneum","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","159","has a reference match",158,59.9050632911392,138.573477852036,7,11,26,48.5,1128,9465,"malignant neoplasm of other and illdefined sites within the digestive organs and peritoneum","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","160","has a reference match",40,19.25,25.4082058216814,7,8,10,18,151,770,"malignant neoplasm of nasal cavities middle ear and accessory sinuses","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","161","has a reference match",109,45.0733944954128,104.377671305095,7,11,20,39,1002,4913,"malignant neoplasm of larynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","162","has a reference match",602,437.647840531561,2746.06365601725,7,16,46,155.25,53951,263464,"malignant neoplasm of trachea bronchus and lung","9","lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","163","has a reference match",49,38.4897959183673,70.2567085910009,8,11,15,25,445,1886,"malignant neoplasm of pleura","9","lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","164","has a reference match",36,20.25,16.9997899146683,7,8.75,14,21.5,75,729,"malignant neoplasm of thymus heart and mediastinum","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","165","has a reference match",10,21.4,17.895995827745,7,9.25,15.5,28,65,214,"malignant neoplasm of other and illdefined sites within the respiratory system and intrathoracic organs","9","lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","170","has a reference match",186,88.2849462365591,295.964697473428,7,10.25,18.5,46,3104,16421,"malignant neoplasm of bone and articular cartilage","11","cancer of bone and connective tissue"
"10_9","ICD-9-CM to ICD-10-CA","171","has a reference match",209,66.5311004784689,197.922042343489,7,11,20,46,2258,13905,"malignant neoplasm of connective and other soft tissue","11","cancer of bone and connective tissue"
"10_9","ICD-9-CM to ICD-10-CA","172","has a reference match",209,61.933014354067,212.552878739813,7,10,17,40,1766,12944,"malignant melanoma of skin","12","skin melanoma"
"10_9","ICD-9-CM to ICD-10-CA","174","has a reference match",477,217.72536687631,1183.30791064413,7,15,31,86,20107,103855,"malignant neoplasm of female breast","13","breast cancer"
"10_9","ICD-9-CM to ICD-10-CA","176","has a reference match",37,19.027027027027,16.989353670406,7,8,16,21,93,704,"kaposis sarcoma","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","179","has a reference match",106,54.377358490566,109.625288430326,7,12,21,50.25,920,5764,"malignant neoplasm of uterus part unspecified","14","uterus cancer"
"10_9","ICD-9-CM to ICD-10-CA","180","has a reference match",182,100.296703296703,298.680523514998,7,15,27,75.5,3658,18254,"malignant neoplasm of cervix uteri","15","cervix cancer"
"10_9","ICD-9-CM to ICD-10-CA","181","has a reference match",7,31.1428571428571,50.8901711906093,7,9,11,18,146,218,"malignant neoplasm of placenta","16","cancer of other female genital organs"
