"track","track_label","model","icd9","group","n","mean","sd","min","q1","median","q3","max","nearest_target","nearest_target_label","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","140","has a reference match",2038,0.828,0.044,0.675,0.8,0.826,0.852,1,"C00","Malignant neoplasm of lip","malignant neoplasm of lip","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","141","has a reference match",2038,0.85,0.044,0.706,0.82,0.849,0.877,0.992,"C01","Malignant neoplasm of base of tongue","malignant neoplasm of tongue","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","142","has a reference match",2038,0.858,0.046,0.687,0.828,0.859,0.885,0.988,"C08","Malignant neoplasm of other and unspecified major salivary glands","malignant neoplasm of major salivary glands","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","143","has a reference match",2038,0.83,0.044,0.673,0.802,0.828,0.854,1,"C03","Malignant neoplasm of gum","malignant neoplasm of gum","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","144","has a reference match",2038,0.853,0.044,0.694,0.824,0.853,0.881,1,"C04","Malignant neoplasm of floor of mouth","malignant neoplasm of floor of mouth","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","145","has a reference match",2038,0.859,0.044,0.683,0.83,0.86,0.886,1,"C06","Malignant neoplasm of other and unspecified parts of mouth","malignant neoplasm of other and unspecified parts of mouth","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","146","has a reference match",2038,0.842,0.05,0.65,0.809,0.842,0.872,1,"C10","Malignant neoplasm of oropharynx","malignant neoplasm of oropharynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","147","has a reference match",2038,0.858,0.046,0.671,0.829,0.859,0.886,1,"C11","Malignant neoplasm of nasopharynx","malignant neoplasm of nasopharynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","148","has a reference match",2038,0.848,0.045,0.679,0.818,0.848,0.874,1,"C13","Malignant neoplasm of hypopharynx","malignant neoplasm of hypopharynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","149","has a reference match",2038,0.823,0.053,0.635,0.789,0.823,0.861,0.992,"C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","malignant neoplasm of other and illdefined sites within the lip oral cavity and pharynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","150","has a reference match",2038,0.86,0.042,0.697,0.833,0.859,0.885,0.998,"C15","Malignant neoplasm of oesophagus","malignant neoplasm of esophagus","2","cancer of esophagus"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","151","has a reference match",2038,0.859,0.043,0.702,0.832,0.859,0.884,1,"C16","Malignant neoplasm of stomach","malignant neoplasm of stomach","3","cancer of stomach"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","152","has a reference match",2038,0.857,0.045,0.688,0.827,0.857,0.883,0.988,"C17","Malignant neoplasm of small intestine","malignant neoplasm of small intestine including duodenum","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","153","has a reference match",2038,0.85,0.05,0.649,0.819,0.852,0.881,1,"C18","Malignant neoplasm of colon","malignant neoplasm of colon","5","colon cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","154","has a reference match",2038,0.864,0.042,0.706,0.837,0.864,0.89,0.982,"C19","Malignant neoplasm of rectosigmoid junction","malignant neoplasm of rectum rectosigmoid junction and anus","6","cancer of rectum and anus"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","155","has a reference match",2038,0.866,0.042,0.708,0.84,0.868,0.892,1,"C22","Malignant neoplasm of liver and intrahepatic bile ducts","malignant neoplasm of liver and intrahepatic bile ducts","7","cancer of liver and intrahepatic bile duct"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","156","has a reference match",2038,0.863,0.044,0.694,0.835,0.865,0.891,0.997,"C22","Malignant neoplasm of liver and intrahepatic bile ducts","malignant neoplasm of gallbladder and extrahepatic bile ducts","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","157","has a reference match",2038,0.858,0.044,0.688,0.83,0.858,0.884,1,"C25","Malignant neoplasm of pancreas","malignant neoplasm of pancreas","8","pancreas cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","158","has a reference match",2038,0.831,0.057,0.621,0.794,0.834,0.87,1,"C48","Malignant neoplasm of retroperitoneum and peritoneum","malignant neoplasm of retroperitoneum and peritoneum","4","cancer of other gi organs peritoneum"
