"track","track_label","icd9","target","freq","target_label","icd9_label"
"10_9","ICD-9-CM to ICD-10-CA","175","C79",131,"Secondary malignant neoplasm of other and unspecified sites","malignant neoplasm of male breast"
"10_9","ICD-9-CM to ICD-10-CA","175","C78",130,"Secondary malignant neoplasm of respiratory and digestive organs","malignant neoplasm of male breast"
"10_9","ICD-9-CM to ICD-10-CA","175","C50",127,"Malignant neoplasm of breast","malignant neoplasm of male breast"
"10_9","ICD-9-CM to ICD-10-CA","209","C78",506,"Secondary malignant neoplasm of respiratory and digestive organs","neuroendocrine tumors"
"10_9","ICD-9-CM to ICD-10-CA","209","C79",434,"Secondary malignant neoplasm of other and unspecified sites","neuroendocrine tumors"
"10_9","ICD-9-CM to ICD-10-CA","209","C34",308,"Malignant neoplasm of bronchus and lung","neuroendocrine tumors"
"10_9","ICD-9-CM to ICD-10-CA","239","I10",4862,"Essential (primary) hypertension","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","239","C71",3986,"Malignant neoplasm of brain","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","239","E11",3842,"Type 2 diabetes mellitus","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","249","E11",1783,"Type 2 diabetes mellitus","secondary diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","249","N08",287,"Glomerular disorders in diseases classified elsewhere","secondary diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","249","E10",231,"Type 1 diabetes mellitus","secondary diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","327","G47",3108,"Other sleep disorders","organic sleep disorders"
"10_9","ICD-9-CM to ICD-10-CA","327","E66",2544,"Obesity","organic sleep disorders"
"10_9","ICD-9-CM to ICD-10-CA","327","E11",2539,"Type 2 diabetes mellitus","organic sleep disorders"
"10_9","ICD-9-CM to ICD-10-CA","338","E11",13431,"Type 2 diabetes mellitus","pain not elsewhere classified"
"10_9","ICD-9-CM to ICD-10-CA","338","E66",11512,"Obesity","pain not elsewhere classified"
"10_9","ICD-9-CM to ICD-10-CA","338","I10",9145,"Essential (primary) hypertension","pain not elsewhere classified"
"10_9","ICD-9-CM to ICD-10-CA","339","E11",54,"Type 2 diabetes mellitus","other headache syndromes"
"10_9","ICD-9-CM to ICD-10-CA","339","R51",51,"Headache","other headache syndromes"
"10_9","ICD-9-CM to ICD-10-CA","339","I10",37,"Essential (primary) hypertension","other headache syndromes"
"10_9","ICD-9-CM to ICD-10-CA","445","I74",16,"Arterial embolism and thrombosis","atheroembolism"
"10_9","ICD-9-CM to ICD-10-CA","445","E11",7,"Type 2 diabetes mellitus","atheroembolism"
"10_9","ICD-9-CM to ICD-10-CA","515","J84",5194,"Other interstitial pulmonary diseases","postinflammatory pulmonary fibrosis"
"10_9","ICD-9-CM to ICD-10-CA","515","E11",1914,"Type 2 diabetes mellitus","postinflammatory pulmonary fibrosis"
"10_9","ICD-9-CM to ICD-10-CA","515","I10",1350,"Essential (primary) hypertension","postinflammatory pulmonary fibrosis"
