"icd9","icd9_label","icd9_chapter","aligned_target_chapters","ccs_category","pipeline_output","target_label","target_chapter","similarity","cooccurrence","correct_target_should_be","present_in_code_list","notes"
"175","malignant neoplasm of male breast",2,"2","breast cancer","C30","Malignant neoplasm of nasal cavity and middle ear",2,0.955,NA,"","",""
"175","malignant neoplasm of male breast",2,"2","breast cancer","C50","Malignant neoplasm of breast",2,0.953,127,"","",""
"175","malignant neoplasm of male breast",2,"2","breast cancer","C79","Secondary malignant neoplasm of other and unspecified sites",2,NA,131,"","",""
"209","neuroendocrine tumors",2,"2","other cancers","C78","Secondary malignant neoplasm of respiratory and digestive organs",2,NA,506,"","",""
"239","neoplasms of unspecified nature",2,"2","neoplasms of unspecified nature","D15","Benign neoplasm of other and unspecified intrathoracic organs",2,0.942,NA,"","",""
"239","neoplasms of unspecified nature",2,"2","neoplasms of unspecified nature","C71","Malignant neoplasm of brain",2,NA,3986,"","",""
"249","secondary diabetes mellitus",3,"4","diabetes mellitus","E11","Type 2 diabetes mellitus",4,NA,1783,"","",""
"327","organic sleep disorders",6,"6/7/8","other nervous system conditions","G47","Other sleep disorders",6,NA,3108,"","",""
"338","pain not elsewhere classified",6,"6/7/8","other nervous system conditions","G47","Other sleep disorders",6,NA,5090,"","",""
"339","other headache syndromes",6,"6/7/8","headache including migraine","G43","Migraine",6,NA,30,"","",""
"445","atheroembolism",7,"9","aortic and peripheral arterial embolism or thrombosis","I71","Aortic aneurysm and dissection",9,0.852,NA,"","",""
"445","atheroembolism",7,"9","aortic and peripheral arterial embolism or thrombosis","I74","Arterial embolism and thrombosis",9,NA,16,"","",""
"515","postinflammatory pulmonary fibrosis",8,"10","other lower respiratory disease","J84","Other interstitial pulmonary diseases",10,NA,5194,"","",""
