"track","track_label","model","icd9","group","n","mean","sd","min","q1","median","q3","max","nearest_target","nearest_target_label","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","140","has a reference match",2038,0.825,0.043,0.639,0.799,0.825,0.846,0.965,"C03","Malignant neoplasm of gum","malignant neoplasm of lip",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","141","has a reference match",2038,0.823,0.047,0.619,0.795,0.823,0.848,0.955,"C03","Malignant neoplasm of gum","malignant neoplasm of tongue",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","142","has a reference match",2038,0.831,0.047,0.635,0.802,0.832,0.857,0.959,"D11","Benign neoplasm of major salivary glands","malignant neoplasm of major salivary glands",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","143","has a reference match",2038,0.813,0.045,0.626,0.785,0.813,0.835,0.97,"C03","Malignant neoplasm of gum","malignant neoplasm of gum",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","144","has a reference match",2038,0.82,0.045,0.637,0.793,0.82,0.843,0.953,"C11","Malignant neoplasm of nasopharynx","malignant neoplasm of floor of mouth",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","145","has a reference match",2038,0.838,0.044,0.648,0.811,0.838,0.862,0.968,"C02","Malignant neoplasm of other and unspecified parts of tongue","malignant neoplasm of other and unspecified parts of mouth",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","146","has a reference match",2038,0.815,0.047,0.613,0.785,0.814,0.84,0.966,"C10","Malignant neoplasm of oropharynx","malignant neoplasm of oropharynx",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","147","has a reference match",2038,0.818,0.047,0.638,0.788,0.818,0.842,0.958,"C11","Malignant neoplasm of nasopharynx","malignant neoplasm of nasopharynx",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","148","has a reference match",2038,0.818,0.044,0.637,0.79,0.817,0.841,0.963,"C10","Malignant neoplasm of oropharynx","malignant neoplasm of hypopharynx",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","149","has a reference match",2038,0.82,0.047,0.623,0.79,0.818,0.848,0.979,"C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","malignant neoplasm of other and illdefined sites within the lip oral cavity and pharynx",1,"cancer of head and neck"
